,Time(sec),Position(mm)
10,0.536,46.601
11,0.586,50.428
12,0.636,54.256
13,0.686,58.083
14,0.736,61.363
15,0.786,65.191
16,0.836,68.471
17,0.886,72.298
18,0.936,76.125
19,0.986,79.406
20,1.036,83.233
21,1.086,86.514
22,1.136,90.341
23,1.186,94.168
24,1.236,97.448
25,1.286,101.276
26,1.336,104.556
27,1.386,108.383
28,1.436,112.21
29,1.486,116.038
30,1.536,119.318
31,1.586,123.145
32,1.636,126.426
33,1.686,130.253
34,1.736,133.533
35,1.786,137.361
36,1.836,140.641
37,1.886,144.468
38,1.936,148.296
39,1.986,151.576
40,2.036,155.403
41,2.086,159.23
42,2.136,162.511
43,2.186,166.338
44,2.236,169.619
45,2.286,173.446
46,2.336,177.273
47,2.387,180.553
48,2.436,184.381
49,2.486,188.208
50,2.536,191.488
51,2.586,195.316
52,2.636,199.143
53,2.686,202.423
54,2.736,206.25
55,2.786,210.078
56,2.836,213.358
57,2.886,217.185
58,2.936,220.466
59,2.986,224.293
