,Time(sec),Position(mm)
200,40.153,134.08
201,40.353,135.174
202,40.553,135.72
203,40.753,136.267
204,40.953,137.361
205,41.153,137.907
206,41.353,138.454
207,41.553,139.001
208,41.753,140.094
209,41.953,140.641
210,42.153,141.188
211,42.353,141.735
212,42.553,142.281
213,42.753,143.375
214,42.953,143.922
215,43.153,144.468
216,43.353,145.562
217,43.553,146.109
218,43.753,146.655
219,43.953,147.202
220,44.153,148.296
221,44.353,148.842
222,44.553,149.389
223,44.753,149.936
224,44.953,151.029
225,45.153,151.576
226,45.353,152.123
227,45.554,153.216
228,45.753,153.763
229,45.953,154.31
230,46.153,154.856
231,46.353,155.95
232,46.553,156.497
233,46.753,157.043
234,46.953,158.137
235,47.153,158.684
236,47.353,159.23
237,47.553,159.777
238,47.753,160.871
239,47.954,161.417
240,48.153,161.964
241,48.353,162.511
242,48.553,163.604
243,48.753,164.151
244,48.953,164.698
245,49.153,165.791
246,49.353,166.338
247,49.553,166.885
248,49.753,167.432
249,49.953,168.525
250,50.153,169.072
251,50.353,170.165
252,50.553,170.165
253,50.753,171.259
254,50.953,171.806
255,51.153,172.352
256,51.354,172.899
257,51.553,173.992
258,51.754,174.539
259,51.953,175.086
260,52.153,175.633
261,52.353,176.726
262,52.553,177.273
263,52.753,177.82
264,52.953,178.366
265,53.153,179.46
266,53.353,180.007
267,53.553,180.553
268,53.753,181.647
269,53.953,182.194
270,54.153,182.74
271,54.353,183.287
272,54.553,184.381
273,54.753,184.927
274,54.953,185.474
275,55.153,186.021
276,55.353,187.114
277,55.553,187.661
278,55.753,188.755
279,55.953,189.301
280,56.153,189.848
281,56.353,190.395
282,56.553,190.942
283,56.754,192.035
284,56.953,192.582
285,57.153,193.129
286,57.353,193.675
287,57.553,194.222
288,57.753,195.316
289,57.953,195.862
290,58.153,196.409
291,58.353,197.502
292,58.554,198.049
293,58.753,198.596
294,58.953,199.689
295,59.153,200.236
296,59.353,200.783
297,59.553,201.33
298,59.753,202.423
299,59.953,202.97
300,60.154,203.517
301,60.353,204.063
302,60.553,204.61
303,60.753,205.704
304,60.953,206.25
305,61.153,206.797
306,61.353,207.891
307,61.553,208.437
308,61.753,208.984
309,61.953,209.531
310,62.153,210.624
311,62.353,211.171
312,62.553,211.718
313,62.753,212.265
314,62.953,212.811
315,63.153,213.905
316,63.354,214.452
317,63.553,214.998
318,63.753,216.092
319,63.953,216.638
320,64.153,217.185
321,64.353,217.732
322,64.553,218.825
323,64.753,219.372
324,64.953,219.919
325,65.153,220.466
326,65.353,221.559
327,65.553,222.106
328,65.754,222.653
329,65.953,223.199
330,66.153,223.746
331,66.354,224.84
332,66.553,225.386
333,66.753,225.933
334,66.953,226.48
335,67.153,227.573
336,67.353,228.12
337,67.553,228.667
338,67.753,229.76
339,67.953,230.307
