,Time(sec),Position(mm)
9,0.503,47.148
10,0.553,52.615
11,0.603,58.083
12,0.653,63.55
13,0.703,69.018
14,0.753,74.485
15,0.803,79.953
16,0.853,85.42
17,0.903,90.887
18,0.953,95.808
19,1.003,101.276
20,1.053,107.837
21,1.103,112.21
22,1.153,117.678
23,1.203,122.599
24,1.253,128.066
25,1.303,133.533
26,1.353,139.001
27,1.403,144.468
28,1.453,149.936
29,1.504,155.403
30,1.553,160.871
31,1.603,166.338
32,1.653,171.806
33,1.703,177.273
34,1.753,182.74
35,1.803,188.208
36,1.853,193.675
37,1.903,199.143
38,1.953,204.61
