,Time(sec),Position(mm)
10,0.516,37.853
11,0.566,41.134
12,0.616,44.961
13,0.666,48.788
14,0.716,52.615
15,0.766,55.896
16,0.816,59.723
17,0.866,63.55
18,0.916,66.831
19,0.966,70.658
20,1.016,73.938
21,1.066,77.766
22,1.116,81.593
23,1.166,85.42
24,1.216,88.701
25,1.266,92.528
26,1.316,96.355
27,1.366,99.635
28,1.416,103.463
29,1.466,106.743
30,1.516,110.57
31,1.566,114.397
32,1.616,118.225
33,1.666,121.505
34,1.716,125.332
35,1.766,129.16
36,1.816,132.44
37,1.866,136.267
38,1.916,140.094
39,1.966,143.375
40,2.016,147.202
41,2.066,151.029
42,2.116,154.31
43,2.166,158.137
44,2.216,161.964
45,2.266,165.245
46,2.316,169.072
47,2.366,172.352
48,2.416,176.179
49,2.466,180.007
50,2.516,183.287
51,2.566,187.114
52,2.616,190.395
53,2.666,194.222
54,2.716,197.502
55,2.766,201.33
56,2.816,204.61
57,2.866,208.437
58,2.916,212.265
59,2.966,215.545
