,Time(sec),Position(mm)
10,2.082,24.185
11,2.282,27.465
12,2.481,29.652
13,2.682,32.386
14,2.881,35.12
15,3.081,37.853
16,3.281,40.587
17,3.481,43.321
18,3.681,45.508
19,3.881,48.241
20,4.081,50.975
21,4.281,53.709
22,4.481,56.443
23,4.681,59.176
24,4.881,61.91
25,5.081,64.097
26,5.281,66.831
27,5.481,69.564
28,5.681,72.298
29,5.881,75.032
30,6.081,77.766
31,6.281,79.953
32,6.482,82.686
33,6.681,85.42
34,6.881,88.154
35,7.081,90.887
36,7.282,93.621
37,7.481,96.355
38,7.681,99.089
39,7.881,101.276
40,8.081,104.009
41,8.281,106.743
42,8.481,109.477
43,8.681,112.21
44,8.881,114.397
45,9.081,117.131
46,9.281,119.865
47,9.482,122.599
48,9.681,125.332
49,9.881,128.066
50,10.081,130.253
51,10.281,132.987
52,10.481,135.72
53,10.681,138.454
54,10.881,141.188
55,11.081,143.922
56,11.281,146.655
57,11.481,148.842
58,11.682,151.576
59,11.881,154.31
60,12.081,157.043
61,12.281,159.777
62,12.481,162.511
63,12.681,164.698
64,12.881,167.432
65,13.081,170.165
66,13.281,172.899
67,13.481,175.633
68,13.681,178.366
69,13.881,180.553
70,14.081,183.287
71,14.282,186.021
72,14.481,188.755
73,14.681,191.488
74,14.881,193.675
75,15.081,196.409
76,15.281,199.143
77,15.481,201.876
78,15.681,204.61
79,15.881,207.344
80,16.081,209.531
81,16.281,212.265
82,16.481,214.998
83,16.681,217.732
84,16.881,219.919
85,17.081,222.653
86,17.281,225.386
87,17.481,228.12
88,17.681,230.854
89,17.881,233.588
