,Time(sec),Position(mm)
10,0.537,51.522
11,0.587,55.896
12,0.637,60.27
13,0.687,64.644
14,0.737,69.564
15,0.787,73.938
16,0.837,78.859
17,0.887,83.233
18,0.937,87.607
19,0.987,92.528
20,1.037,96.902
21,1.087,101.276
22,1.137,106.196
23,1.187,111.117
24,1.237,115.491
25,1.287,119.865
26,1.337,124.786
27,1.387,129.16
28,1.437,133.533
29,1.487,138.454
30,1.537,143.375
31,1.587,147.202
32,1.637,152.123
33,1.687,156.497
34,1.737,161.417
35,1.787,165.791
36,1.837,170.165
37,1.887,175.086
38,1.937,179.46
39,1.987,184.381
40,2.037,188.755
41,2.087,193.129
42,2.137,198.049
43,2.187,202.423
44,2.237,206.797
45,2.287,211.718
46,2.337,216.092
47,2.387,220.466
48,2.437,224.84
49,2.487,229.76
