,Time(sec),Position(mm)
9,0.532,24.732
10,0.582,28.012
11,0.632,31.839
12,0.682,35.12
13,0.732,38.947
14,0.782,42.227
15,0.832,46.055
16,0.882,48.788
17,0.932,52.615
18,0.982,55.896
19,1.032,59.176
20,1.082,63.004
21,1.132,66.831
22,1.182,70.111
23,1.232,73.938
24,1.283,77.219
25,1.332,80.499
26,1.382,84.327
27,1.432,87.607
28,1.482,91.434
29,1.532,94.715
30,1.582,98.542
31,1.632,101.822
32,1.682,105.65
33,1.732,108.93
34,1.782,112.757
35,1.832,116.038
36,1.882,119.865
37,1.932,123.145
38,1.982,126.973
39,2.032,130.253
40,2.082,133.533
41,2.132,136.814
42,2.182,140.641
43,2.232,143.922
44,2.282,147.202
45,2.332,151.029
46,2.382,154.31
47,2.432,157.59
48,2.482,160.871
49,2.532,164.698
50,2.582,167.978
51,2.632,171.806
52,2.682,175.086
53,2.732,178.913
54,2.782,182.194
55,2.832,185.474
56,2.882,189.301
57,2.932,192.582
58,2.982,196.409
59,3.032,199.689
60,3.083,202.97
61,3.133,206.25
62,3.182,209.531
63,3.232,212.811
64,3.282,215.545
65,3.332,218.279
66,3.382,221.559
67,3.432,224.84
68,3.482,227.573
