,Time(sec),Position(mm)
10,0.544,57.536
11,0.594,61.91
12,0.644,66.831
13,0.694,71.751
14,0.744,76.125
15,0.794,81.046
16,0.844,85.967
17,0.894,90.341
18,0.944,95.261
19,0.994,100.182
20,1.044,104.556
21,1.094,109.477
22,1.144,114.397
23,1.194,119.318
24,1.244,124.239
25,1.294,129.16
26,1.344,133.533
27,1.394,138.454
28,1.444,143.375
29,1.494,147.749
30,1.544,152.67
31,1.594,157.59
32,1.644,161.964
33,1.694,166.885
34,1.744,171.259
35,1.794,176.179
36,1.844,181.1
37,1.894,185.474
38,1.944,189.848
39,1.994,194.769
40,2.044,199.689
41,2.095,204.063
42,2.144,208.984
43,2.194,213.905
44,2.244,218.825
45,2.294,223.199
46,2.344,228.12
47,2.394,232.494
48,2.445,237.415
49,2.494,242.335
