,Time(sec),Position(mm)
20,1.041,46.601
21,1.091,47.695
22,1.141,49.335
23,1.191,50.428
24,1.241,52.069
25,1.291,53.709
26,1.341,55.349
27,1.391,56.443
28,1.441,58.083
29,1.491,59.723
30,1.541,60.817
31,1.591,62.457
32,1.641,63.55
33,1.691,65.191
34,1.741,66.831
35,1.791,67.924
36,1.841,69.018
37,1.891,71.205
38,1.941,72.298
39,1.991,73.392
40,2.041,75.032
41,2.091,76.672
42,2.141,77.766
43,2.191,78.859
44,2.241,80.499
45,2.291,82.14
46,2.342,83.233
47,2.391,84.873
48,2.441,86.514
49,2.491,87.607
50,2.541,89.247
51,2.591,90.887
52,2.641,91.981
53,2.691,93.074
54,2.741,94.715
55,2.791,96.355
56,2.841,97.995
57,2.892,99.089
58,2.941,100.729
59,2.991,102.369
60,3.041,103.463
61,3.091,104.556
62,3.141,106.743
63,3.191,107.837
64,3.241,109.477
65,3.291,110.57
66,3.341,112.21
67,3.392,113.304
68,3.441,114.944
69,3.491,116.038
70,3.541,117.678
71,3.591,119.318
72,3.641,120.412
73,3.691,122.052
74,3.741,123.692
75,3.791,124.786
76,3.841,126.426
77,3.891,127.519
78,3.942,129.16
79,3.991,130.8
80,4.041,131.893
81,4.091,133.533
82,4.141,134.627
83,4.191,136.814
84,4.241,137.907
85,4.291,139.548
86,4.341,140.641
87,4.391,142.281
88,4.441,143.922
89,4.491,144.468
90,4.541,146.655
91,4.591,147.749
92,4.641,149.389
93,4.691,151.029
94,4.741,152.123
95,4.791,153.216
96,4.841,155.403
97,4.891,156.497
98,4.941,157.59
99,4.991,159.23
100,5.041,160.324
101,5.091,161.964
102,5.141,163.604
103,5.191,164.698
104,5.241,166.338
105,5.291,167.432
106,5.341,169.072
107,5.391,170.712
108,5.441,171.806
109,5.491,173.446
110,5.541,174.539
111,5.591,176.179
112,5.641,177.82
113,5.691,178.913
114,5.741,180.007
115,5.791,182.194
116,5.841,183.287
117,5.891,184.381
118,5.941,185.474
119,5.991,187.661
120,6.041,189.301
121,6.091,190.395
122,6.141,191.488
123,6.191,193.129
124,6.241,194.769
125,6.291,195.862
126,6.341,197.502
127,6.391,198.596
128,6.441,200.236
129,6.491,201.876
130,6.541,202.97
131,6.592,204.61
132,6.641,205.704
133,6.691,207.344
134,6.741,208.437
135,6.791,210.078
136,6.841,211.718
137,6.891,212.811
138,6.941,214.452
139,6.991,215.545
140,7.041,217.185
141,7.091,218.825
142,7.142,220.466
143,7.191,221.559
144,7.241,223.199
145,7.291,224.293
146,7.341,225.933
147,7.391,227.573
148,7.441,228.667
149,7.491,230.307
150,7.541,231.947
151,7.591,233.041
152,7.641,234.681
153,7.691,235.775
154,7.741,237.415
155,7.791,238.508
156,7.841,240.148
157,7.892,241.789
158,7.941,242.882
159,7.991,244.522
