,Time(sec),Position(mm)
20,1.022,52.069
21,1.072,54.802
22,1.122,56.989
23,1.172,59.176
24,1.222,61.363
25,1.272,64.097
26,1.322,66.284
27,1.372,69.018
28,1.422,71.205
29,1.472,73.938
30,1.522,76.125
31,1.572,78.312
32,1.622,80.499
33,1.672,82.686
34,1.722,85.42
35,1.772,87.607
36,1.822,89.794
37,1.872,91.981
38,1.922,94.715
39,1.972,96.902
40,2.022,99.089
41,2.072,101.822
42,2.122,104.009
43,2.172,106.743
44,2.222,108.93
45,2.272,111.117
46,2.322,113.851
47,2.373,116.038
48,2.422,118.225
49,2.472,120.412
50,2.523,123.145
51,2.572,125.332
52,2.622,127.519
53,2.672,129.706
54,2.722,132.44
55,2.772,134.627
56,2.822,136.814
57,2.872,139.548
58,2.922,141.735
59,2.972,144.468
60,3.022,146.655
61,3.072,148.842
62,3.122,151.576
63,3.172,153.763
64,3.222,155.95
65,3.272,158.137
66,3.322,160.871
67,3.372,163.058
68,3.422,165.245
69,3.472,167.432
70,3.522,170.165
71,3.572,172.352
72,3.622,174.539
73,3.672,176.726
74,3.722,178.913
75,3.772,181.1
76,3.822,183.287
77,3.872,186.021
78,3.922,188.755
79,3.972,190.942
80,4.022,193.675
81,4.072,195.862
82,4.122,198.049
83,4.172,200.236
84,4.223,202.423
85,4.272,204.61
86,4.322,207.344
87,4.372,209.531
88,4.423,211.718
89,4.472,214.452
90,4.522,216.638
91,4.572,218.825
92,4.622,221.559
93,4.672,223.746
94,4.722,225.933
95,4.772,228.667
96,4.822,230.307
97,4.872,233.041
98,4.922,235.775
99,4.972,237.962
