,Time(sec),Position(mm)
9,0.503,30.199
10,0.553,34.026
11,0.603,37.853
12,0.653,41.134
13,0.703,44.961
14,0.753,48.241
15,0.803,52.069
16,0.853,55.349
17,0.903,59.176
18,0.953,62.457
19,1.003,66.284
20,1.053,69.564
21,1.103,73.392
22,1.153,77.219
23,1.203,80.499
24,1.253,84.327
25,1.303,87.06
26,1.353,90.341
27,1.403,93.621
28,1.453,97.448
29,1.503,100.729
30,1.553,104.009
31,1.603,107.29
32,1.653,110.57
33,1.703,113.851
34,1.753,117.131
35,1.804,120.958
36,1.853,124.239
37,1.903,128.066
38,1.953,131.347
39,2.003,134.627
40,2.053,138.454
41,2.103,141.735
42,2.153,145.562
43,2.203,149.389
44,2.253,152.67
45,2.303,155.95
46,2.353,159.777
47,2.404,163.058
48,2.453,166.885
49,2.503,170.165
50,2.553,173.992
51,2.603,177.273
52,2.653,181.1
53,2.703,184.381
54,2.753,188.208
55,2.803,191.488
56,2.853,194.769
57,2.903,198.596
58,2.953,201.876
59,3.003,205.704
60,3.053,208.984
61,3.103,212.811
62,3.153,216.092
63,3.203,219.919
64,3.253,223.199
65,3.303,227.027
66,3.353,230.307
67,3.403,234.134
68,3.453,237.415
