,Time(sec),Position(mm)
10,0.536,25.825
11,0.586,31.292
12,0.636,36.76
13,0.686,42.227
14,0.736,47.695
15,0.786,53.162
16,0.836,58.63
17,0.886,64.097
18,0.936,69.564
19,0.986,75.032
20,1.036,81.046
21,1.086,86.514
22,1.137,92.528
23,1.186,97.448
24,1.236,102.916
25,1.286,108.93
26,1.336,114.397
27,1.386,119.865
28,1.436,125.332
29,1.486,130.253
30,1.536,135.72
31,1.586,141.188
32,1.636,147.202
33,1.686,152.67
34,1.736,157.59
35,1.786,163.604
36,1.836,169.072
37,1.886,174.539
38,1.936,180.007
39,1.986,185.474
