,Time(sec),Position(mm)
9,0.506,50.975
10,0.556,55.349
11,0.606,59.723
12,0.656,64.097
13,0.706,69.018
14,0.756,73.392
15,0.806,78.312
16,0.856,82.686
17,0.906,87.06
18,0.956,91.981
19,1.006,96.355
20,1.056,101.276
21,1.106,105.65
22,1.156,110.57
23,1.206,114.944
24,1.256,119.865
25,1.306,124.239
26,1.356,129.16
27,1.406,133.533
28,1.456,138.454
29,1.506,142.828
30,1.556,147.749
31,1.606,152.123
32,1.656,156.497
33,1.706,161.417
34,1.756,165.791
35,1.806,170.712
36,1.856,175.086
37,1.906,180.007
38,1.956,183.834
39,2.006,188.755
40,2.056,193.675
41,2.106,198.049
42,2.156,201.876
43,2.206,206.25
44,2.256,211.171
45,2.306,215.545
46,2.356,220.466
47,2.406,224.84
48,2.456,229.214
