,Time(sec),Position(mm)
9,0.503,38.947
10,0.554,44.414
11,0.603,49.882
12,0.653,55.349
13,0.703,60.817
14,0.753,66.284
15,0.803,71.751
16,0.853,77.219
17,0.903,83.233
18,0.953,88.701
19,1.003,94.168
20,1.053,99.635
21,1.103,105.65
22,1.153,111.117
23,1.203,116.038
24,1.253,121.505
25,1.303,126.973
26,1.353,132.987
27,1.403,138.454
28,1.453,143.922
29,1.503,149.389
30,1.553,154.856
31,1.603,160.324
32,1.653,165.791
33,1.703,171.259
34,1.753,176.726
35,1.803,182.194
36,1.853,187.661
37,1.903,193.129
38,1.953,198.049
