,Time(sec),Position(mm)
10,0.541,42.227
11,0.591,46.601
12,0.641,51.522
13,0.692,56.443
14,0.741,61.363
15,0.791,66.284
16,0.841,70.111
17,0.891,75.032
18,0.941,79.953
19,0.991,85.42
20,1.042,90.341
21,1.091,94.168
22,1.141,99.089
23,1.191,103.463
24,1.241,108.383
25,1.291,113.304
26,1.341,118.225
27,1.391,122.599
28,1.441,127.519
29,1.492,132.44
30,1.541,137.361
31,1.591,142.281
32,1.641,146.655
33,1.691,151.576
34,1.741,155.95
35,1.791,160.871
36,1.841,165.791
37,1.891,170.165
38,1.941,175.086
39,1.991,180.007
40,2.041,184.381
41,2.091,189.301
42,2.141,193.675
43,2.191,198.596
44,2.241,203.517
45,2.291,208.437
46,2.341,212.811
47,2.391,217.732
48,2.441,222.653
49,2.491,227.027
