,Time(sec),Position(mm)
25,5.056,26.372
26,5.256,27.465
27,5.456,29.105
28,5.656,30.746
29,5.856,32.386
30,6.056,33.479
31,6.256,35.12
32,6.456,36.76
33,6.656,38.4
34,6.856,40.04
35,7.056,41.681
36,7.256,43.321
37,7.456,44.414
38,7.656,46.055
39,7.857,47.695
40,8.056,49.335
41,8.256,50.975
42,8.456,52.615
43,8.656,53.709
44,8.856,55.349
45,9.056,56.989
46,9.256,58.63
47,9.456,59.723
48,9.657,61.363
49,9.856,63.004
50,10.056,64.644
51,10.256,66.284
52,10.456,67.378
53,10.656,69.018
54,10.856,70.658
55,11.056,72.298
56,11.256,73.938
57,11.457,75.032
58,11.656,77.219
59,11.856,78.312
60,12.056,79.953
61,12.256,81.593
62,12.457,83.233
63,12.657,84.873
64,12.856,86.514
65,13.056,87.607
66,13.256,89.247
67,13.456,90.887
68,13.657,92.528
69,13.856,93.621
70,14.056,95.261
71,14.256,96.902
72,14.456,98.542
73,14.657,100.182
74,14.856,101.276
75,15.056,102.916
76,15.256,104.556
77,15.456,106.196
78,15.656,107.837
79,15.856,108.93
80,16.056,110.57
81,16.256,112.21
82,16.456,113.851
83,16.656,115.491
84,16.856,116.584
85,17.056,118.225
86,17.256,119.865
87,17.456,121.505
88,17.656,123.145
89,17.856,124.239
90,18.056,126.426
91,18.256,127.519
92,18.456,129.16
93,18.656,130.8
94,18.856,132.44
95,19.056,134.08
96,19.256,135.174
97,19.456,136.814
98,19.656,138.454
99,19.856,140.094
100,20.056,141.188
101,20.256,142.828
102,20.457,144.468
103,20.656,146.109
104,20.856,147.749
105,21.056,148.842
106,21.256,150.483
107,21.456,152.123
108,21.656,153.763
109,21.856,154.856
110,22.056,156.497
111,22.256,158.137
112,22.456,159.777
113,22.656,161.417
114,22.856,163.058
115,23.056,164.151
116,23.256,165.791
117,23.456,167.432
118,23.656,168.525
119,23.856,170.165
120,24.056,171.806
121,24.256,173.446
122,24.456,175.086
123,24.656,176.726
124,24.856,177.82
125,25.056,179.46
126,25.256,181.1
127,25.456,182.74
128,25.656,184.381
129,25.856,185.474
130,26.056,187.114
131,26.256,188.755
132,26.456,190.395
133,26.656,192.035
134,26.856,193.675
135,27.056,195.316
136,27.256,196.409
137,27.456,198.049
138,27.656,199.143
139,27.856,200.783
140,28.056,202.423
141,28.256,204.063
142,28.456,205.704
143,28.656,207.344
144,28.856,208.437
145,29.056,210.078
146,29.256,211.718
147,29.456,213.358
148,29.656,214.452
149,29.856,216.092
150,30.056,217.732
151,30.256,219.372
152,30.456,220.466
153,30.656,222.106
154,30.856,223.746
155,31.056,225.386
156,31.256,227.027
157,31.456,228.12
158,31.656,229.76
159,31.856,231.401
160,32.056,233.041
161,32.256,234.134
162,32.456,235.775
163,32.656,237.415
164,32.856,239.055
165,33.056,240.695
166,33.256,241.789
167,33.456,243.429
168,33.656,245.069
169,33.856,246.709
