,Time(sec),Position(mm)
19,1.007,24.185
20,1.057,25.278
21,1.107,26.918
22,1.157,28.012
23,1.207,29.652
24,1.257,31.292
25,1.307,32.386
26,1.357,34.573
27,1.407,35.12
28,1.457,36.76
29,1.507,37.853
30,1.557,39.494
31,1.607,40.587
32,1.657,42.227
33,1.707,43.321
34,1.757,44.961
35,1.807,46.055
36,1.857,47.695
37,1.907,48.788
38,1.958,50.428
39,2.007,52.069
40,2.057,53.162
41,2.108,54.802
42,2.157,55.896
43,2.207,57.536
44,2.257,58.63
45,2.307,60.27
46,2.357,61.363
47,2.407,63.004
48,2.457,64.097
49,2.507,65.737
50,2.557,67.378
51,2.607,68.471
52,2.657,70.111
53,2.707,71.751
54,2.757,72.845
55,2.807,74.485
56,2.857,75.579
57,2.907,77.219
58,2.957,78.312
59,3.007,79.406
60,3.057,81.593
61,3.107,82.14
62,3.157,84.327
63,3.207,85.42
64,3.257,86.514
65,3.308,88.154
66,3.357,89.247
67,3.407,90.887
68,3.457,92.528
69,3.507,93.621
70,3.557,95.261
71,3.607,96.355
72,3.657,97.995
73,3.707,99.089
74,3.758,100.729
75,3.807,102.369
76,3.857,103.463
77,3.907,105.103
78,3.957,106.196
79,4.007,107.837
80,4.058,108.93
81,4.107,110.57
82,4.157,112.21
83,4.207,113.304
84,4.257,114.944
85,4.307,116.038
86,4.357,117.131
87,4.407,118.771
88,4.457,120.412
89,4.507,121.505
90,4.557,123.145
91,4.607,124.239
92,4.657,125.879
93,4.707,126.973
94,4.757,128.613
95,4.807,129.706
96,4.857,131.347
97,4.907,132.44
98,4.957,134.08
99,5.007,135.174
100,5.057,136.267
101,5.107,137.907
102,5.157,139.001
103,5.207,141.188
104,5.257,142.281
105,5.307,143.375
106,5.357,145.015
107,5.407,146.109
108,5.457,147.749
109,5.507,149.389
110,5.557,151.029
111,5.607,152.123
112,5.657,153.763
113,5.707,154.856
114,5.757,155.95
115,5.807,157.59
116,5.857,158.684
117,5.907,160.324
118,5.957,161.964
119,6.007,163.058
120,6.057,164.698
121,6.107,165.791
122,6.157,167.432
123,6.207,168.525
124,6.257,170.165
125,6.307,171.259
126,6.357,172.899
127,6.407,173.992
128,6.457,175.633
129,6.507,177.273
130,6.557,178.366
131,6.607,180.007
132,6.657,181.1
133,6.707,182.74
134,6.757,184.381
135,6.807,185.474
136,6.857,187.114
137,6.907,187.661
138,6.957,189.848
139,7.007,190.942
140,7.057,192.582
141,7.107,193.675
142,7.157,195.316
143,7.207,196.409
144,7.257,198.049
145,7.307,199.143
146,7.357,200.783
147,7.407,201.876
148,7.457,203.517
149,7.507,204.61
150,7.557,206.25
151,7.607,207.344
152,7.657,208.984
153,7.707,210.078
154,7.757,211.718
155,7.807,212.811
156,7.857,214.452
157,7.907,215.545
158,7.957,217.185
159,8.007,218.279
160,8.057,219.919
161,8.107,221.559
162,8.157,222.653
163,8.207,224.293
164,8.257,225.386
165,8.307,227.027
166,8.357,228.12
167,8.407,229.76
168,8.457,230.854
169,8.507,231.947
170,8.557,233.041
171,8.607,234.681
172,8.657,236.321
173,8.708,237.962
174,8.757,239.055
175,8.807,240.695
176,8.857,241.789
177,8.907,243.429
178,8.957,244.522
