,Time(sec),Position(mm)
20,1.042,52.615
21,1.092,54.802
22,1.142,56.989
23,1.192,59.723
24,1.242,61.91
25,1.292,64.097
26,1.342,66.284
27,1.392,69.018
28,1.442,71.751
29,1.492,73.392
30,1.542,76.672
31,1.593,78.859
32,1.642,81.046
33,1.692,83.233
34,1.742,85.967
35,1.793,88.154
36,1.842,90.341
37,1.892,93.074
38,1.942,95.261
39,1.992,97.448
40,2.042,100.182
41,2.092,102.369
42,2.142,105.103
43,2.192,106.743
44,2.242,109.477
45,2.292,112.21
46,2.342,114.397
47,2.392,116.584
48,2.443,118.771
49,2.492,120.958
50,2.542,123.145
51,2.592,125.879
52,2.642,128.066
53,2.692,130.253
54,2.742,132.987
55,2.792,135.174
56,2.842,137.907
57,2.893,139.548
58,2.942,142.281
59,2.992,145.015
60,3.042,147.202
61,3.092,149.389
62,3.142,151.576
63,3.192,154.31
64,3.242,156.497
65,3.292,158.684
66,3.342,161.417
67,3.392,163.604
68,3.443,166.338
69,3.492,168.525
70,3.542,170.712
71,3.592,173.446
72,3.642,175.633
73,3.692,177.82
74,3.742,180.553
75,3.792,182.74
76,3.842,184.927
77,3.892,187.661
78,3.942,189.301
79,3.992,191.488
80,4.042,194.222
81,4.092,196.409
82,4.142,199.143
83,4.192,201.33
84,4.242,204.063
85,4.293,206.25
86,4.343,208.437
87,4.392,211.171
88,4.442,213.358
89,4.492,215.545
90,4.542,218.279
91,4.592,219.919
92,4.642,222.653
93,4.693,225.386
94,4.742,227.573
95,4.792,229.76
96,4.842,232.494
97,4.892,234.681
98,4.943,236.868
99,4.992,238.508
