,Time(sec),Position(mm)
15,3.116,13.25
16,3.316,14.89
17,3.516,16.53
18,3.716,17.624
19,3.916,19.264
20,4.116,20.904
21,4.316,22.545
22,4.517,24.185
23,4.716,25.278
24,4.916,26.918
25,5.116,28.559
26,5.316,30.199
27,5.516,31.292
28,5.716,32.933
29,5.916,34.573
30,6.116,36.213
31,6.316,37.853
32,6.516,38.947
33,6.716,40.587
34,6.916,42.227
35,7.116,43.868
36,7.316,44.961
37,7.516,46.601
38,7.716,48.241
39,7.916,49.882
40,8.116,50.975
41,8.316,52.615
42,8.516,54.256
43,8.716,55.896
44,8.916,56.989
45,9.116,58.63
46,9.316,60.27
47,9.516,61.91
48,9.716,63.55
49,9.916,65.191
50,10.117,66.284
51,10.316,67.924
52,10.516,69.564
53,10.716,71.205
54,10.916,72.298
55,11.116,73.938
56,11.316,75.579
57,11.516,77.219
58,11.717,78.859
59,11.916,80.499
60,12.116,81.593
61,12.316,83.233
62,12.516,84.873
63,12.716,86.514
64,12.916,87.607
65,13.116,89.247
66,13.316,90.887
67,13.516,91.981
68,13.717,93.621
69,13.916,95.261
70,14.116,96.902
71,14.316,98.542
72,14.516,99.635
73,14.716,101.276
74,14.917,102.916
75,15.116,104.556
76,15.316,105.65
77,15.516,107.29
78,15.716,108.93
79,15.916,110.57
80,16.116,111.664
81,16.316,113.304
82,16.516,114.944
83,16.716,116.584
84,16.916,118.225
85,17.116,119.318
86,17.316,120.958
87,17.516,122.599
88,17.716,124.239
89,17.917,125.879
90,18.116,126.973
91,18.316,128.613
92,18.516,130.253
93,18.716,131.893
94,18.916,132.987
95,19.116,134.627
96,19.316,136.267
97,19.516,137.361
98,19.716,139.001
99,19.916,140.641
100,20.116,142.281
101,20.316,143.922
102,20.516,145.015
103,20.716,146.655
104,20.916,148.296
105,21.116,149.936
106,21.316,151.029
107,21.516,152.67
108,21.716,154.31
109,21.916,155.95
110,22.117,157.59
111,22.316,158.684
112,22.516,160.324
113,22.716,161.964
114,22.916,163.058
115,23.116,164.698
116,23.316,166.338
117,23.516,167.978
118,23.716,169.072
119,23.916,170.712
120,24.116,172.352
121,24.316,173.992
122,24.516,175.633
123,24.716,176.726
124,24.916,178.366
125,25.116,180.007
126,25.316,181.647
127,25.516,182.74
128,25.716,184.381
129,25.916,186.021
130,26.117,187.661
131,26.316,189.301
132,26.516,190.395
133,26.716,192.035
134,26.917,193.675
135,27.116,195.316
136,27.316,196.409
137,27.516,198.049
138,27.716,199.689
139,27.916,201.33
140,28.116,202.97
141,28.317,204.063
142,28.516,205.704
143,28.716,207.344
144,28.916,208.984
145,29.116,210.078
146,29.317,211.718
147,29.516,213.358
148,29.716,214.452
149,29.916,216.092
150,30.116,217.732
151,30.316,218.825
152,30.516,220.466
153,30.716,222.106
154,30.916,223.746
155,31.116,224.84
156,31.316,226.48
157,31.516,228.12
158,31.716,229.76
159,31.916,230.854
160,32.116,232.494
161,32.316,234.134
162,32.516,235.775
163,32.716,236.868
164,32.916,238.508
165,33.116,240.148
166,33.316,241.789
167,33.516,243.429
168,33.716,244.522
169,33.916,246.163
