,Time(sec),Position(mm)
50,10.184,26.372
51,10.384,26.918
52,10.584,28.012
53,10.784,28.559
54,10.984,29.105
55,11.184,29.652
56,11.384,30.746
57,11.584,31.292
58,11.784,31.839
59,11.984,32.933
60,12.184,33.479
61,12.384,34.026
62,12.584,35.12
63,12.784,35.666
64,12.984,36.213
65,13.184,37.307
66,13.384,37.853
67,13.584,38.4
68,13.784,39.494
69,13.984,40.04
70,14.184,41.134
71,14.384,41.681
72,14.584,42.227
73,14.784,43.321
74,14.984,43.868
75,15.184,44.414
76,15.384,44.961
77,15.584,46.055
78,15.784,46.601
79,15.984,47.695
80,16.184,48.241
81,16.384,49.335
82,16.585,49.882
83,16.784,50.428
84,16.984,50.975
85,17.184,52.069
86,17.384,52.615
87,17.584,53.162
88,17.784,54.256
89,17.984,54.802
90,18.184,55.349
91,18.384,56.443
92,18.596,56.989
93,18.784,57.536
94,18.984,58.63
95,19.184,59.176
96,19.384,59.723
97,19.584,60.817
98,19.784,61.363
99,19.984,61.91
100,20.184,63.004
101,20.384,63.55
102,20.584,64.097
103,20.784,65.191
104,20.984,65.737
105,21.184,66.831
106,21.384,67.378
107,21.584,67.924
108,21.784,69.018
109,21.984,69.564
110,22.184,70.111
111,22.384,70.658
112,22.584,71.751
113,22.784,72.298
114,22.984,72.845
115,23.184,73.938
116,23.384,74.485
117,23.584,75.579
118,23.784,76.125
119,23.984,76.672
120,24.184,77.766
121,24.384,78.312
122,24.584,78.859
123,24.785,79.953
124,24.984,80.499
125,25.184,81.046
126,25.384,82.14
127,25.584,82.686
128,25.784,83.233
129,25.984,84.327
130,26.184,84.873
131,26.384,85.42
132,26.584,86.514
133,26.784,87.06
134,26.984,87.607
135,27.185,88.701
136,27.385,89.247
137,27.584,89.794
138,27.784,90.887
139,27.985,91.434
140,28.184,91.981
141,28.384,93.074
142,28.584,93.621
143,28.784,94.715
144,28.984,95.261
145,29.184,95.808
146,29.384,96.355
147,29.584,97.448
148,29.784,97.995
149,29.984,99.089
150,30.184,99.635
151,30.384,100.182
152,30.584,101.276
153,30.784,101.822
154,30.984,102.369
155,31.184,103.463
156,31.384,104.009
157,31.584,104.556
158,31.784,105.65
159,31.984,106.196
160,32.184,106.743
161,32.384,107.837
162,32.584,108.383
163,32.784,108.93
164,32.984,110.024
165,33.184,110.57
166,33.385,111.117
167,33.584,112.21
168,33.784,112.757
169,33.984,113.851
170,34.184,114.397
171,34.384,114.944
172,34.584,116.038
173,34.784,116.584
174,34.984,117.131
175,35.184,118.225
176,35.384,118.771
177,35.584,119.318
178,35.784,120.412
179,35.984,120.958
180,36.184,121.505
181,36.385,122.599
182,36.584,123.145
183,36.785,123.692
184,36.984,124.786
185,37.184,125.332
186,37.384,125.879
187,37.585,126.973
188,37.784,127.519
189,37.984,128.066
190,38.184,129.16
191,38.384,129.706
192,38.584,130.253
193,38.784,131.347
194,38.984,131.893
195,39.184,132.44
196,39.384,133.533
197,39.584,134.08
198,39.785,134.627
199,39.984,135.72
200,40.184,136.267
201,40.384,136.814
202,40.584,137.907
203,40.784,138.454
204,40.984,139.001
205,41.184,140.094
206,41.384,140.641
207,41.584,141.188
208,41.784,142.281
209,41.984,142.828
210,42.185,143.375
211,42.384,144.468
212,42.584,145.015
213,42.784,146.109
214,42.984,146.655
215,43.184,147.202
216,43.385,148.296
217,43.584,148.842
218,43.784,149.389
219,43.984,149.936
220,44.184,151.029
221,44.384,151.576
222,44.584,152.67
223,44.784,153.216
224,44.984,153.763
225,45.184,154.856
226,45.384,155.403
227,45.584,155.95
228,45.784,157.043
229,45.984,157.59
230,46.184,158.137
231,46.384,159.23
232,46.584,159.777
233,46.784,160.324
234,46.984,160.871
235,47.184,161.964
236,47.384,162.511
237,47.584,163.604
238,47.784,164.151
239,47.984,164.698
240,48.184,165.791
241,48.384,166.338
242,48.584,166.885
243,48.784,167.978
244,48.984,168.525
245,49.184,169.072
246,49.384,170.165
247,49.584,170.712
248,49.784,171.259
249,49.984,172.352
250,50.184,172.899
251,50.385,173.446
252,50.584,174.539
253,50.784,175.086
254,50.984,175.633
255,51.184,176.726
256,51.384,177.273
257,51.584,177.82
258,51.784,178.913
259,51.985,179.46
260,52.184,180.007
261,52.384,181.1
262,52.584,181.647
263,52.785,182.194
264,52.984,183.287
265,53.184,183.834
266,53.384,184.381
267,53.584,185.474
268,53.784,186.021
269,53.984,186.568
270,54.184,187.661
271,54.384,188.208
272,54.584,188.755
273,54.784,189.848
274,54.984,190.395
275,55.185,190.942
276,55.384,192.035
277,55.585,192.582
278,55.784,193.129
279,55.984,194.222
280,56.184,194.769
281,56.384,195.316
282,56.584,196.409
283,56.784,196.956
284,56.984,197.502
285,57.184,198.596
286,57.384,199.143
287,57.584,199.689
288,57.784,200.783
289,57.984,201.33
290,58.184,201.876
291,58.384,202.97
292,58.584,203.517
293,58.784,204.063
294,58.985,205.157
295,59.184,205.704
296,59.384,206.25
297,59.585,207.344
298,59.785,207.891
299,59.984,208.437
300,60.184,209.531
301,60.384,210.078
302,60.584,210.624
303,60.784,211.718
304,60.985,212.265
305,61.184,212.811
306,61.385,213.905
307,61.584,214.452
308,61.784,214.998
309,61.984,215.545
310,62.184,216.638
311,62.384,217.185
312,62.584,217.732
313,62.784,218.825
314,62.984,219.372
315,63.184,219.919
316,63.384,221.012
317,63.584,221.559
318,63.784,222.106
319,63.984,223.199
320,64.184,223.746
321,64.384,224.293
322,64.584,225.386
323,64.784,225.933
324,64.984,226.48
325,65.185,227.573
326,65.384,228.12
327,65.584,228.667
328,65.784,229.214
329,65.984,230.307
330,66.184,230.854
331,66.384,231.947
332,66.584,232.494
333,66.784,233.041
334,66.984,233.588
335,67.184,234.681
336,67.384,235.228
337,67.584,235.775
338,67.785,236.868
339,67.984,237.415
340,68.184,237.962
341,68.384,239.055
342,68.584,239.602
343,68.784,240.148
344,68.984,241.242
345,69.184,241.789
346,69.384,242.335
347,69.584,242.882
348,69.784,243.976
349,69.984,244.522
