,Time(sec),Position(mm)
20,1.028,42.774
21,1.078,43.868
22,1.128,45.508
23,1.179,47.148
24,1.228,48.241
25,1.278,49.882
26,1.329,50.975
27,1.378,52.615
28,1.428,53.709
29,1.478,55.349
30,1.528,56.443
31,1.578,58.083
32,1.628,59.176
33,1.678,60.817
34,1.728,62.457
35,1.778,63.55
36,1.828,65.191
37,1.878,66.284
38,1.928,67.924
39,1.978,69.564
40,2.028,70.658
41,2.078,72.298
42,2.128,73.392
43,2.179,75.032
44,2.228,76.125
45,2.278,77.766
46,2.328,79.406
47,2.378,80.499
48,2.428,82.14
49,2.478,83.233
50,2.528,84.873
51,2.578,85.967
52,2.628,87.607
53,2.678,88.701
54,2.728,90.341
55,2.778,91.434
56,2.828,93.074
57,2.878,94.168
58,2.929,95.808
59,2.978,96.902
60,3.028,98.542
61,3.078,100.182
62,3.128,101.276
63,3.178,102.916
64,3.228,104.009
65,3.278,105.65
66,3.328,107.29
67,3.379,108.383
68,3.429,110.024
69,3.478,111.117
70,3.528,112.757
71,3.578,113.851
72,3.628,115.491
73,3.678,116.584
74,3.728,117.678
75,3.778,119.865
76,3.828,120.958
77,3.878,122.599
78,3.928,123.692
79,3.978,125.332
80,4.028,126.426
81,4.078,127.519
82,4.128,129.16
83,4.178,130.8
84,4.228,131.893
85,4.278,133.533
86,4.328,134.627
87,4.378,136.267
88,4.428,137.361
89,4.478,139.001
90,4.528,140.094
91,4.578,141.735
92,4.628,142.828
93,4.678,144.468
94,4.728,145.562
95,4.778,147.202
96,4.828,148.842
97,4.878,149.936
98,4.928,151.576
99,4.978,152.67
100,5.028,154.31
101,5.078,155.95
102,5.128,157.043
103,5.178,158.684
104,5.228,159.23
105,5.278,161.417
106,5.328,162.511
107,5.378,164.151
108,5.428,165.245
109,5.478,166.885
110,5.528,167.978
111,5.578,169.619
112,5.628,170.712
113,5.678,172.352
114,5.728,173.446
115,5.778,175.086
116,5.828,176.179
117,5.878,177.82
118,5.928,179.46
119,5.978,180.553
120,6.028,182.194
121,6.078,183.287
122,6.128,184.927
123,6.178,186.021
124,6.228,187.661
125,6.278,188.755
126,6.328,190.395
127,6.378,191.488
128,6.428,193.129
129,6.478,194.769
130,6.528,195.862
131,6.578,197.502
132,6.628,198.596
133,6.678,200.236
134,6.728,201.33
135,6.778,202.97
136,6.828,204.063
137,6.878,205.704
138,6.928,207.344
139,6.978,207.891
140,7.028,210.078
141,7.078,211.171
142,7.128,212.265
143,7.178,213.905
144,7.228,214.998
145,7.278,216.638
146,7.328,217.732
147,7.378,219.372
148,7.428,220.466
149,7.478,222.106
150,7.531,223.746
151,7.578,224.84
152,7.628,226.48
153,7.678,227.573
154,7.728,229.214
155,7.779,230.307
156,7.828,231.947
157,7.878,233.041
158,7.929,234.681
159,7.978,235.775
