,Time(sec),Position(mm)
50,10.026,11.063
51,10.231,12.156
52,10.426,12.703
53,10.626,13.797
54,10.826,14.343
55,11.026,14.89
56,11.226,15.984
57,11.426,16.53
58,11.626,17.077
59,11.826,18.171
60,12.026,18.717
61,12.226,19.264
62,12.426,20.358
63,12.626,20.904
64,12.826,21.451
65,13.026,22.545
66,13.226,23.091
67,13.426,23.638
68,13.626,24.732
69,13.826,25.278
70,14.026,25.825
71,14.226,26.918
72,14.426,27.465
73,14.626,28.559
74,14.826,29.105
75,15.026,30.199
76,15.226,30.746
77,15.426,31.292
78,15.626,32.386
79,15.826,32.933
80,16.027,33.479
81,16.227,34.573
82,16.426,35.12
83,16.626,35.666
84,16.826,36.76
85,17.026,37.307
86,17.226,37.853
87,17.426,38.947
88,17.626,39.494
89,17.827,40.587
90,18.026,41.134
91,18.226,41.681
92,18.426,42.774
93,18.626,43.321
94,18.826,44.414
95,19.026,44.961
96,19.226,45.508
97,19.426,46.601
98,19.626,47.148
99,19.827,48.241
100,20.026,48.788
101,20.226,49.335
102,20.426,50.428
103,20.626,50.975
104,20.826,51.522
105,21.026,52.615
106,21.226,53.162
107,21.426,54.256
108,21.626,54.802
109,21.826,55.349
110,22.026,56.443
111,22.226,56.989
112,22.426,57.536
113,22.626,58.63
114,22.826,59.176
115,23.026,60.27
116,23.226,60.817
117,23.426,61.363
118,23.626,62.457
119,23.826,63.004
120,24.026,63.55
121,24.226,64.644
122,24.426,65.191
123,24.626,66.284
124,24.826,66.831
125,25.026,67.378
126,25.226,68.471
127,25.426,69.018
128,25.626,70.111
129,25.826,70.658
130,26.026,71.205
131,26.226,72.298
132,26.426,72.845
133,26.626,73.392
134,26.826,74.485
135,27.026,75.032
136,27.226,76.125
137,27.426,76.672
138,27.626,77.219
139,27.826,78.312
140,28.026,78.859
141,28.226,79.406
142,28.426,80.499
143,28.626,81.046
144,28.826,82.14
145,29.026,82.686
146,29.226,83.233
147,29.427,84.327
148,29.626,84.873
149,29.826,85.42
150,30.027,86.514
151,30.226,87.06
152,30.426,87.607
153,30.626,88.701
154,30.826,89.247
155,31.026,90.341
156,31.226,90.887
157,31.426,91.981
158,31.626,92.528
159,31.826,93.074
160,32.026,94.168
161,32.226,94.715
162,32.426,95.261
163,32.626,96.355
164,32.826,96.902
165,33.026,97.448
166,33.226,98.542
167,33.426,99.089
168,33.626,100.182
169,33.826,100.729
170,34.026,101.822
171,34.226,102.369
172,34.426,102.916
173,34.626,104.009
174,34.826,104.556
175,35.026,105.103
176,35.226,106.196
177,35.426,106.743
178,35.626,107.29
179,35.826,108.383
180,36.027,108.93
181,36.227,110.024
182,36.426,110.57
183,36.626,111.117
184,36.826,112.21
185,37.026,112.757
186,37.226,113.851
187,37.426,114.397
188,37.626,114.944
189,37.826,116.038
190,38.027,116.584
191,38.226,117.131
192,38.426,118.225
193,38.626,118.771
194,38.826,119.865
195,39.026,120.412
196,39.226,120.958
197,39.426,122.052
198,39.626,122.599
199,39.826,123.692
200,40.026,124.239
201,40.226,124.786
202,40.426,125.879
203,40.626,126.426
204,40.826,126.973
205,41.026,128.066
206,41.226,128.613
207,41.426,129.16
208,41.626,130.253
209,41.826,130.8
210,42.026,131.893
211,42.226,132.44
212,42.426,132.987
213,42.626,134.08
214,42.826,134.627
215,43.026,135.72
216,43.226,136.267
217,43.426,136.814
218,43.626,137.361
219,43.826,138.454
220,44.026,139.001
221,44.226,140.094
222,44.426,140.641
223,44.626,141.188
224,44.826,142.281
225,45.026,142.828
226,45.226,143.922
227,45.426,144.468
228,45.626,145.015
229,45.826,146.109
230,46.026,146.655
231,46.226,147.749
232,46.426,148.296
233,46.626,148.842
234,46.826,149.936
235,47.026,150.483
236,47.226,151.029
237,47.426,152.123
238,47.626,152.67
239,47.826,153.216
240,48.026,154.31
241,48.226,154.856
242,48.426,155.95
243,48.627,156.497
244,48.826,157.043
245,49.026,158.137
246,49.226,158.684
247,49.427,159.777
248,49.626,160.324
249,49.826,160.871
250,50.026,161.964
251,50.226,162.511
252,50.426,163.058
253,50.626,164.151
254,50.826,164.698
255,51.026,165.245
256,51.226,166.338
257,51.426,166.885
258,51.626,167.978
259,51.826,168.525
260,52.026,169.072
261,52.227,170.165
262,52.426,170.712
263,52.626,171.259
264,52.826,172.352
265,53.026,172.899
266,53.226,173.992
267,53.426,174.539
268,53.626,175.086
269,53.826,176.179
270,54.026,176.726
271,54.226,177.82
272,54.426,178.366
273,54.626,178.913
274,54.826,180.007
275,55.026,180.553
276,55.226,181.1
277,55.426,182.194
278,55.626,182.74
279,55.826,183.287
280,56.026,184.381
281,56.226,184.927
282,56.426,185.474
283,56.626,186.568
284,56.826,187.114
285,57.026,188.208
286,57.226,188.755
287,57.426,189.301
288,57.626,190.395
289,57.826,190.942
290,58.026,191.488
291,58.226,192.582
292,58.426,193.129
293,58.626,194.222
294,58.826,194.769
295,59.026,195.316
296,59.227,196.409
297,59.426,196.956
298,59.626,197.502
299,59.826,198.596
300,60.026,199.143
301,60.226,200.236
302,60.426,200.783
303,60.626,201.33
304,60.826,202.423
305,61.026,202.97
306,61.226,203.517
307,61.427,204.61
308,61.626,205.157
309,61.826,205.704
310,62.026,206.797
311,62.226,207.344
312,62.426,207.891
313,62.626,208.984
314,62.827,209.531
315,63.026,210.624
316,63.226,211.171
317,63.426,211.718
318,63.626,212.811
319,63.826,213.358
320,64.026,213.905
321,64.226,214.998
322,64.426,215.545
323,64.626,216.092
324,64.827,217.185
325,65.026,217.732
326,65.226,218.825
327,65.426,219.372
328,65.626,219.919
329,65.826,221.012
330,66.026,221.559
331,66.226,222.106
332,66.426,223.199
333,66.626,223.746
334,66.826,224.84
335,67.026,225.386
336,67.226,225.933
337,67.426,227.027
338,67.626,227.573
339,67.826,228.12
340,68.026,229.214
341,68.226,229.76
342,68.426,230.307
343,68.626,231.401
344,68.826,231.947
345,69.026,232.494
346,69.226,233.588
347,69.426,234.134
348,69.626,234.681
349,69.826,235.775
