,Time(sec),Position(mm)
18,1.014,59.176
19,1.063,61.363
20,1.113,63.55
21,1.163,65.737
22,1.214,68.471
23,1.263,70.658
24,1.313,72.845
25,1.363,75.579
26,1.414,77.766
27,1.463,79.953
28,1.513,82.686
29,1.563,84.873
30,1.613,87.06
31,1.663,89.794
32,1.713,91.434
33,1.763,94.168
34,1.813,96.902
35,1.863,99.089
36,1.913,101.276
37,1.963,103.463
38,2.013,105.65
39,2.063,108.383
40,2.113,110.57
41,2.163,112.757
42,2.215,115.491
43,2.263,117.678
44,2.313,119.865
45,2.363,122.052
46,2.413,124.239
47,2.463,126.973
48,2.513,129.706
49,2.564,131.893
50,2.613,134.08
51,2.663,136.267
52,2.714,139.001
53,2.764,141.188
54,2.813,143.375
55,2.863,145.562
56,2.913,147.749
57,2.963,149.936
58,3.013,152.67
59,3.063,154.856
60,3.113,157.043
61,3.163,159.777
62,3.213,161.417
63,3.263,164.151
64,3.313,166.885
65,3.363,169.072
66,3.413,171.806
67,3.463,173.992
68,3.513,176.179
69,3.563,178.366
70,3.613,180.553
71,3.663,182.74
72,3.713,185.474
73,3.763,187.661
74,3.813,189.848
75,3.863,192.582
76,3.913,194.769
77,3.964,196.956
78,4.013,199.689
79,4.063,201.33
80,4.113,204.063
81,4.163,206.25
82,4.213,208.984
83,4.263,210.624
84,4.313,213.358
85,4.363,215.545
86,4.413,218.279
87,4.463,220.466
88,4.513,222.653
89,4.563,225.386
90,4.613,227.573
91,4.663,229.76
92,4.713,231.947
93,4.763,234.681
94,4.813,236.868
95,4.863,239.055
96,4.913,241.242
97,4.963,243.429
