,Time(sec),Position(mm)
10,0.51,66.831
11,0.561,70.658
12,0.61,73.938
13,0.66,77.766
14,0.71,81.046
15,0.761,84.873
16,0.81,88.154
17,0.86,91.434
18,0.91,95.261
19,0.96,98.542
20,1.01,102.369
21,1.06,106.196
22,1.11,109.477
23,1.16,112.757
24,1.21,116.584
25,1.26,119.318
26,1.311,123.692
27,1.36,126.426
28,1.41,130.253
29,1.46,134.08
30,1.51,136.814
31,1.56,140.641
32,1.61,143.922
33,1.66,147.749
34,1.71,151.029
35,1.76,154.31
36,1.81,158.137
37,1.86,161.417
38,1.91,164.698
39,1.96,168.525
40,2.01,171.806
41,2.06,175.633
42,2.11,178.913
43,2.16,182.74
44,2.21,186.021
45,2.26,189.848
46,2.31,193.129
47,2.36,196.956
48,2.41,200.236
49,2.46,204.063
