Motion Through Fluids Experiment Wed, Mar 02, 2022 10:20 AM
Time(sec)	Position(mm)
0.027	0.000
0.229	0.000
0.426	0.000
0.626	0.000
0.826	0.000
1.026	0.000
1.226	0.000
1.426	0.000
1.626	0.000
1.826	0.000
2.026	0.000
2.226	0.000
2.426	0.000
2.626	0.000
2.826	0.000
3.026	0.000
3.226	0.000
3.426	0.000
3.626	0.000
3.826	0.000
4.026	0.000
4.226	0.000
4.426	0.000
4.626	0.000
4.826	0.000
5.026	0.000
5.226	0.000
5.426	1.222
5.626	0.675
5.826	0.000
6.026	0.000
6.226	0.000
6.426	0.000
6.626	0.000
6.826	0.000
7.026	0.000
7.226	0.000
7.426	1.768
7.626	2.315
7.826	2.862
8.026	3.955
8.226	4.502
8.426	5.595
8.626	6.142
8.826	6.689
9.026	7.236
9.226	8.329
9.426	8.876
9.626	9.969
9.827	10.516
10.026	11.063
10.231	12.156
10.426	12.703
10.626	13.797
10.826	14.343
11.026	14.890
11.226	15.984
11.426	16.530
11.626	17.077
11.826	18.171
12.026	18.717
12.226	19.264
12.426	20.358
12.626	20.904
12.826	21.451
13.026	22.545
13.226	23.091
13.426	23.638
13.626	24.732
13.826	25.278
14.026	25.825
14.226	26.918
14.426	27.465
14.626	28.559
14.826	29.105
15.026	30.199
15.226	30.746
15.426	31.292
15.626	32.386
15.826	32.933
16.027	33.479
16.227	34.573
16.426	35.120
16.626	35.666
16.826	36.760
17.026	37.307
17.226	37.853
17.426	38.947
17.626	39.494
17.827	40.587
18.026	41.134
18.226	41.681
18.426	42.774
18.626	43.321
18.826	44.414
19.026	44.961
19.226	45.508
19.426	46.601
19.626	47.148
19.827	48.241
20.026	48.788
20.226	49.335
20.426	50.428
20.626	50.975
20.826	51.522
21.026	52.615
21.226	53.162
21.426	54.256
21.626	54.802
21.826	55.349
22.026	56.443
22.226	56.989
22.426	57.536
22.626	58.630
22.826	59.176
23.026	60.270
23.226	60.817
23.426	61.363
23.626	62.457
23.826	63.004
24.026	63.550
24.226	64.644
24.426	65.191
24.626	66.284
24.826	66.831
25.026	67.378
25.226	68.471
25.426	69.018
25.626	70.111
25.826	70.658
26.026	71.205
26.226	72.298
26.426	72.845
26.626	73.392
26.826	74.485
27.026	75.032
27.226	76.125
27.426	76.672
27.626	77.219
27.826	78.312
28.026	78.859
28.226	79.406
28.426	80.499
28.626	81.046
28.826	82.140
29.026	82.686
29.226	83.233
29.427	84.327
29.626	84.873
29.826	85.420
30.027	86.514
30.226	87.060
30.426	87.607
30.626	88.701
30.826	89.247
31.026	90.341
31.226	90.887
31.426	91.981
31.626	92.528
31.826	93.074
32.026	94.168
32.226	94.715
32.426	95.261
32.626	96.355
32.826	96.902
33.026	97.448
33.226	98.542
33.426	99.089
33.626	100.182
33.826	100.729
34.026	101.822
34.226	102.369
34.426	102.916
34.626	104.009
34.826	104.556
35.026	105.103
35.226	106.196
35.426	106.743
35.626	107.290
35.826	108.383
36.027	108.930
36.227	110.024
36.426	110.570
36.626	111.117
36.826	112.210
37.026	112.757
37.226	113.851
37.426	114.397
37.626	114.944
37.826	116.038
38.027	116.584
38.226	117.131
38.426	118.225
38.626	118.771
38.826	119.865
39.026	120.412
39.226	120.958
39.426	122.052
39.626	122.599
39.826	123.692
40.026	124.239
40.226	124.786
40.426	125.879
40.626	126.426
40.826	126.973
41.026	128.066
41.226	128.613
41.426	129.160
41.626	130.253
41.826	130.800
42.026	131.893
42.226	132.440
42.426	132.987
42.626	134.080
42.826	134.627
43.026	135.720
43.226	136.267
43.426	136.814
43.626	137.361
43.826	138.454
44.026	139.001
44.226	140.094
44.426	140.641
44.626	141.188
44.826	142.281
45.026	142.828
45.226	143.922
45.426	144.468
45.626	145.015
45.826	146.109
46.026	146.655
46.226	147.749
46.426	148.296
46.626	148.842
46.826	149.936
47.026	150.483
47.226	151.029
47.426	152.123
47.626	152.670
47.826	153.216
48.026	154.310
48.226	154.856
48.426	155.950
48.627	156.497
48.826	157.043
49.026	158.137
49.226	158.684
49.427	159.777
49.626	160.324
49.826	160.871
50.026	161.964
50.226	162.511
50.426	163.058
50.626	164.151
50.826	164.698
51.026	165.245
51.226	166.338
51.426	166.885
51.626	167.978
51.826	168.525
52.026	169.072
52.227	170.165
52.426	170.712
52.626	171.259
52.826	172.352
53.026	172.899
53.226	173.992
53.426	174.539
53.626	175.086
53.826	176.179
54.026	176.726
54.226	177.820
54.426	178.366
54.626	178.913
54.826	180.007
55.026	180.553
55.226	181.100
55.426	182.194
55.626	182.740
55.826	183.287
56.026	184.381
56.226	184.927
56.426	185.474
56.626	186.568
56.826	187.114
57.026	188.208
57.226	188.755
57.426	189.301
57.626	190.395
57.826	190.942
58.026	191.488
58.226	192.582
58.426	193.129
58.626	194.222
58.826	194.769
59.026	195.316
59.227	196.409
59.426	196.956
59.626	197.502
59.826	198.596
60.026	199.143
60.226	200.236
60.426	200.783
60.626	201.330
60.826	202.423
61.026	202.970
61.226	203.517
61.427	204.610
61.626	205.157
61.826	205.704
62.026	206.797
62.226	207.344
62.426	207.891
62.626	208.984
62.827	209.531
63.026	210.624
63.226	211.171
63.426	211.718
63.626	212.811
63.826	213.358
64.026	213.905
64.226	214.998
64.426	215.545
64.626	216.092
64.827	217.185
65.026	217.732
65.226	218.825
65.426	219.372
65.626	219.919
65.826	221.012
66.026	221.559
66.226	222.106
66.426	223.199
66.626	223.746
66.826	224.840
67.026	225.386
67.226	225.933
67.426	227.027
67.626	227.573
67.826	228.120
68.026	229.214
68.226	229.760
68.426	230.307
68.626	231.401
68.826	231.947
69.026	232.494
69.226	233.588
69.426	234.134
69.626	234.681
69.826	235.775
70.026	236.321
70.226	236.868
70.426	237.962
70.626	238.508
70.826	239.055
71.026	240.148
71.226	240.695
71.426	241.789
71.626	242.335
71.826	242.882
72.026	243.976
72.226	244.522
72.426	245.069
72.626	246.163
72.826	246.709
73.026	247.256
73.226	247.803
73.426	248.896
73.626	249.443
73.826	250.537
74.026	251.083
74.226	251.630
74.426	252.724
74.626	253.270
74.826	253.817
75.026	254.911
75.226	0.000
75.426	0.000
75.626	0.000
75.826	0.000
76.028	0.000
76.226	0.000
76.426	0.000
76.626	0.000
76.826	0.000
77.026	0.000
77.226	0.000
77.426	0.000
77.626	0.000
77.826	0.000
