Motion Through Fluids Experiment Wed, Mar 02, 2022 10:44 AM
Time(sec)	Position(mm)
0.043	0.000
0.093	24.185
0.143	0.000
0.193	32.933
0.243	37.853
0.293	42.774
0.343	47.148
0.393	52.069
0.443	56.989
0.493	61.363
0.543	66.284
0.593	71.205
0.643	75.579
0.693	80.499
0.743	85.420
0.793	89.794
0.843	94.715
0.893	99.089
0.943	104.009
0.993	108.930
1.043	113.304
1.093	118.225
1.143	122.599
1.193	127.519
1.243	131.893
1.294	136.814
1.343	141.735
1.393	146.109
1.443	151.029
1.493	155.403
1.543	160.324
1.593	164.698
1.643	169.619
1.693	173.992
1.744	178.913
1.793	183.287
1.843	188.208
1.894	192.582
1.943	197.502
1.993	201.876
2.043	206.797
2.093	211.718
2.143	216.092
2.193	221.012
2.243	225.386
2.293	230.307
2.343	234.681
2.393	239.602
2.443	243.976
2.493	248.350
2.543	252.724
2.593	0.000
2.643	0.000
2.693	0.000
2.744	0.000
2.793	0.000
2.843	0.000
2.893	0.000
2.943	0.000
2.993	0.000
3.043	0.000
3.093	0.000
3.144	0.000
3.193	0.000
3.243	0.000
3.293	0.000
3.343	0.000
