Motion Through Fluids Experiment Wed, Mar 02, 2022 10:23 AM
Time(sec)	Position(mm)
0.184	0.000
0.384	0.675
0.584	3.409
0.784	3.955
0.984	0.000
1.184	0.000
1.384	0.000
1.584	0.000
1.784	0.000
1.984	0.000
2.184	0.000
2.384	0.000
2.584	0.000
2.784	0.000
2.984	0.000
3.184	0.675
3.384	1.222
3.584	2.315
3.784	2.862
3.984	3.409
4.184	4.502
4.391	5.049
4.584	5.595
4.784	6.689
4.984	7.236
5.184	7.782
5.384	8.876
5.584	9.423
5.784	10.516
5.984	11.063
6.184	0.000
6.384	0.000
6.584	13.250
6.784	13.797
6.984	14.890
7.184	15.437
7.384	15.984
7.584	16.530
7.784	17.624
7.984	0.000
8.184	0.000
8.384	19.811
8.584	0.000
8.785	21.451
8.984	21.998
9.184	22.545
9.384	23.091
9.584	24.185
9.784	24.732
9.984	25.278
10.184	26.372
10.384	26.918
10.584	28.012
10.784	28.559
10.984	29.105
11.184	29.652
11.384	30.746
11.584	31.292
11.784	31.839
11.984	32.933
12.184	33.479
12.384	34.026
12.584	35.120
12.784	35.666
12.984	36.213
13.184	37.307
13.384	37.853
13.584	38.400
13.784	39.494
13.984	40.040
14.184	41.134
14.384	41.681
14.584	42.227
14.784	43.321
14.984	43.868
15.184	44.414
15.384	44.961
15.584	46.055
15.784	46.601
15.984	47.695
16.184	48.241
16.384	49.335
16.585	49.882
16.784	50.428
16.984	50.975
17.184	52.069
17.384	52.615
17.584	53.162
17.784	54.256
17.984	54.802
18.184	55.349
18.384	56.443
18.596	56.989
18.784	57.536
18.984	58.630
19.184	59.176
19.384	59.723
19.584	60.817
19.784	61.363
19.984	61.910
20.184	63.004
20.384	63.550
20.584	64.097
20.784	65.191
20.984	65.737
21.184	66.831
21.384	67.378
21.584	67.924
21.784	69.018
21.984	69.564
22.184	70.111
22.384	70.658
22.584	71.751
22.784	72.298
22.984	72.845
23.184	73.938
23.384	74.485
23.584	75.579
23.784	76.125
23.984	76.672
24.184	77.766
24.384	78.312
24.584	78.859
24.785	79.953
24.984	80.499
25.184	81.046
25.384	82.140
25.584	82.686
25.784	83.233
25.984	84.327
26.184	84.873
26.384	85.420
26.584	86.514
26.784	87.060
26.984	87.607
27.185	88.701
27.385	89.247
27.584	89.794
27.784	90.887
27.985	91.434
28.184	91.981
28.384	93.074
28.584	93.621
28.784	94.715
28.984	95.261
29.184	95.808
29.384	96.355
29.584	97.448
29.784	97.995
29.984	99.089
30.184	99.635
30.384	100.182
30.584	101.276
30.784	101.822
30.984	102.369
31.184	103.463
31.384	104.009
31.584	104.556
31.784	105.650
31.984	106.196
32.184	106.743
32.384	107.837
32.584	108.383
32.784	108.930
32.984	110.024
33.184	110.570
33.385	111.117
33.584	112.210
33.784	112.757
33.984	113.851
34.184	114.397
34.384	114.944
34.584	116.038
34.784	116.584
34.984	117.131
35.184	118.225
35.384	118.771
35.584	119.318
35.784	120.412
35.984	120.958
36.184	121.505
36.385	122.599
36.584	123.145
36.785	123.692
36.984	124.786
37.184	125.332
37.384	125.879
37.585	126.973
37.784	127.519
37.984	128.066
38.184	129.160
38.384	129.706
38.584	130.253
38.784	131.347
38.984	131.893
39.184	132.440
39.384	133.533
39.584	134.080
39.785	134.627
39.984	135.720
40.184	136.267
40.384	136.814
40.584	137.907
40.784	138.454
40.984	139.001
41.184	140.094
41.384	140.641
41.584	141.188
41.784	142.281
41.984	142.828
42.185	143.375
42.384	144.468
42.584	145.015
42.784	146.109
42.984	146.655
43.184	147.202
43.385	148.296
43.584	148.842
43.784	149.389
43.984	149.936
44.184	151.029
44.384	151.576
44.584	152.670
44.784	153.216
44.984	153.763
45.184	154.856
45.384	155.403
45.584	155.950
45.784	157.043
45.984	157.590
46.184	158.137
46.384	159.230
46.584	159.777
46.784	160.324
46.984	160.871
47.184	161.964
47.384	162.511
47.584	163.604
47.784	164.151
47.984	164.698
48.184	165.791
48.384	166.338
48.584	166.885
48.784	167.978
48.984	168.525
49.184	169.072
49.384	170.165
49.584	170.712
49.784	171.259
49.984	172.352
50.184	172.899
50.385	173.446
50.584	174.539
50.784	175.086
50.984	175.633
51.184	176.726
51.384	177.273
51.584	177.820
51.784	178.913
51.985	179.460
52.184	180.007
52.384	181.100
52.584	181.647
52.785	182.194
52.984	183.287
53.184	183.834
53.384	184.381
53.584	185.474
53.784	186.021
53.984	186.568
54.184	187.661
54.384	188.208
54.584	188.755
54.784	189.848
54.984	190.395
55.185	190.942
55.384	192.035
55.585	192.582
55.784	193.129
55.984	194.222
56.184	194.769
56.384	195.316
56.584	196.409
56.784	196.956
56.984	197.502
57.184	198.596
57.384	199.143
57.584	199.689
57.784	200.783
57.984	201.330
58.184	201.876
58.384	202.970
58.584	203.517
58.784	204.063
58.985	205.157
59.184	205.704
59.384	206.250
59.585	207.344
59.785	207.891
59.984	208.437
60.184	209.531
60.384	210.078
60.584	210.624
60.784	211.718
60.985	212.265
61.184	212.811
61.385	213.905
61.584	214.452
61.784	214.998
61.984	215.545
62.184	216.638
62.384	217.185
62.584	217.732
62.784	218.825
62.984	219.372
63.184	219.919
63.384	221.012
63.584	221.559
63.784	222.106
63.984	223.199
64.184	223.746
64.384	224.293
64.584	225.386
64.784	225.933
64.984	226.480
65.185	227.573
65.384	228.120
65.584	228.667
65.784	229.214
65.984	230.307
66.184	230.854
66.384	231.947
66.584	232.494
66.784	233.041
66.984	233.588
67.184	234.681
67.384	235.228
67.584	235.775
67.785	236.868
67.984	237.415
68.184	237.962
68.384	239.055
68.584	239.602
68.784	240.148
68.984	241.242
69.184	241.789
69.384	242.335
69.584	242.882
69.784	243.976
69.984	244.522
70.184	245.069
70.384	246.163
70.584	246.709
70.784	247.256
70.984	248.350
71.184	248.896
71.384	249.443
71.584	250.537
71.784	251.083
71.984	251.630
72.189	252.724
72.384	253.270
72.584	253.817
72.784	254.364
72.984	255.457
73.184	0.000
73.384	0.000
73.584	0.000
73.784	0.000
73.984	0.000
74.184	0.000
74.384	0.000
74.585	0.000
74.784	0.000
74.984	0.000
75.185	0.000
