Motion Through Fluids Experiment Wed, Mar 02, 2022 10:38 AM
Time(sec)	Position(mm)
0.003	0.000
0.103	0.000
0.153	1.768
0.203	7.236
0.253	12.156
0.303	17.624
0.353	22.545
0.403	28.012
0.453	33.479
0.503	38.947
0.554	44.414
0.603	49.882
0.653	55.349
0.703	60.817
0.753	66.284
0.803	71.751
0.853	77.219
0.903	83.233
0.953	88.701
1.003	94.168
1.053	99.635
1.103	105.650
1.153	111.117
1.203	116.038
1.253	121.505
1.303	126.973
1.353	132.987
1.403	138.454
1.453	143.922
1.503	149.389
1.553	154.856
1.603	160.324
1.653	165.791
1.703	171.259
1.753	176.726
1.803	182.194
1.853	187.661
1.903	193.129
1.953	198.049
2.003	202.970
2.053	208.437
2.103	213.905
2.153	218.825
2.203	224.293
2.253	229.760
2.303	235.228
2.353	241.242
2.404	246.163
2.453	251.630
2.503	254.911
2.553	0.000
2.603	0.000
2.653	0.000
2.703	0.000
2.753	0.000
2.803	0.000
2.853	0.000
2.903	0.000
2.953	0.000
3.003	0.000
3.053	0.000
3.103	0.000
3.153	0.000
3.203	0.000
3.253	0.000
3.303	0.000
3.353	0.000
