Motion Through Fluids Experiment Wed, Mar 02, 2022 10:33 AM
Time(sec)	Position(mm)
0.017	34.573
0.117	47.695
0.167	54.802
0.217	61.363
0.267	68.471
0.317	75.579
0.367	83.233
0.417	90.341
0.467	97.995
0.517	105.103
0.567	112.757
0.617	119.865
0.667	127.519
0.717	135.174
0.767	142.281
0.817	149.936
0.867	157.590
0.917	165.245
0.967	172.899
1.017	180.553
1.067	188.208
1.117	195.862
1.167	203.517
1.217	211.171
1.267	218.825
1.318	225.933
1.367	233.588
1.417	241.242
1.467	248.896
1.517	255.457
1.567	0.000
1.617	0.000
1.667	0.000
1.717	0.000
1.767	0.000
1.817	0.000
1.867	0.000
1.917	0.000
1.967	0.000
2.018	0.000
2.067	0.000
2.117	0.000
2.167	0.000
2.218	0.000
2.267	0.000
2.317	0.000
2.367	0.000
2.417	0.000
2.467	0.000
