Motion Through Fluids Experiment Wed, Mar 02, 2022 10:46 AM
Time(sec)	Position(mm)
0.010	30.746
0.060	34.573
0.110	37.853
0.160	41.681
0.210	44.961
0.260	48.788
0.310	52.615
0.360	55.896
0.410	59.723
0.460	63.004
0.510	66.831
0.561	70.658
0.610	73.938
0.660	77.766
0.710	81.046
0.761	84.873
0.810	88.154
0.860	91.434
0.910	95.261
0.960	98.542
1.010	102.369
1.060	106.196
1.110	109.477
1.160	112.757
1.210	116.584
1.260	119.318
1.311	123.692
1.360	126.426
1.410	130.253
1.460	134.080
1.510	136.814
1.560	140.641
1.610	143.922
1.660	147.749
1.710	151.029
1.760	154.310
1.810	158.137
1.860	161.417
1.910	164.698
1.960	168.525
2.010	171.806
2.060	175.633
2.110	178.913
2.160	182.740
2.210	186.021
2.260	189.848
2.310	193.129
2.360	196.956
2.410	200.236
2.460	204.063
2.510	207.344
2.560	211.171
2.610	214.452
2.660	218.279
2.710	221.559
2.760	225.386
2.810	229.214
2.860	0.000
2.910	0.000
2.960	0.000
3.010	0.000
3.060	0.000
3.110	0.000
3.160	0.000
3.210	0.000
3.260	0.000
3.310	0.000
3.360	0.000
3.410	0.000
3.460	0.000
3.510	0.000
3.560	0.000
3.610	0.000
3.660	0.000
3.710	0.000
3.760	0.000
3.810	0.000
3.860	0.000
3.910	0.000
3.960	0.000
