Motion Through Fluids Experiment Wed, Mar 02, 2022 10:34 AM
Time(sec)	Position(mm)
0.038	29.105
0.088	34.573
0.138	40.040
0.188	46.055
0.238	52.069
0.288	57.536
0.338	63.550
0.388	68.471
0.438	73.938
0.488	81.046
0.538	85.420
0.588	91.434
0.638	96.902
0.688	102.369
0.738	108.383
0.788	113.851
0.838	119.865
0.888	125.332
0.938	131.347
0.988	137.361
1.038	143.375
1.088	149.389
1.138	155.403
1.188	161.417
1.238	167.432
1.288	173.446
1.338	178.913
1.388	184.927
1.438	190.395
1.488	196.409
1.538	202.423
1.588	207.891
1.638	213.905
1.688	219.372
1.738	225.386
1.788	231.401
1.838	236.868
1.888	242.882
1.938	248.896
1.988	254.364
2.038	0.000
2.088	0.000
2.138	0.000
2.188	0.000
2.239	0.000
2.288	0.000
2.338	0.000
2.388	0.000
