Motion Through Fluids Experiment Wed, Mar 02, 2022 10:36 AM
Time(sec)	Position(mm)
0.050	31.292
0.100	36.213
0.150	41.134
0.200	46.055
0.250	51.522
0.300	56.443
0.350	61.910
0.400	67.378
0.450	72.845
0.500	78.312
0.550	83.780
0.600	89.247
0.650	94.715
0.700	100.182
0.750	106.196
0.800	111.664
0.850	117.131
0.900	122.599
0.950	128.066
1.000	133.533
1.050	139.001
1.100	143.922
1.150	149.389
1.200	154.856
1.251	160.324
1.300	165.791
1.350	171.259
1.400	176.726
1.450	182.194
1.500	187.661
1.550	193.129
1.600	199.143
1.650	204.610
1.700	209.531
1.750	214.998
1.800	220.466
1.850	225.933
1.900	231.401
1.950	236.868
2.000	242.335
2.050	247.803
2.100	252.724
2.150	0.000
2.200	0.000
2.250	0.000
2.300	0.000
2.350	0.000
2.400	0.000
2.450	0.000
2.500	0.000
2.550	0.000
2.600	0.000
