Motion Through Fluids Experiment Wed, Mar 02, 2022 9:47 AM
Time(sec)	Position(mm)
0.022	7.236
0.076	8.876
0.122	11.063
0.172	12.156
0.222	14.890
0.272	17.624
0.323	19.811
0.372	21.998
0.422	23.638
0.472	26.372
0.522	29.105
0.572	31.292
0.622	33.479
0.672	35.666
0.722	38.400
0.772	40.587
0.822	42.774
0.872	44.961
0.923	47.695
0.972	49.882
1.022	52.069
1.072	54.802
1.122	56.989
1.172	59.176
1.222	61.363
1.272	64.097
1.322	66.284
1.372	69.018
1.422	71.205
1.472	73.938
1.522	76.125
1.572	78.312
1.622	80.499
1.672	82.686
1.722	85.420
1.772	87.607
1.822	89.794
1.872	91.981
1.922	94.715
1.972	96.902
2.022	99.089
2.072	101.822
2.122	104.009
2.172	106.743
2.222	108.930
2.272	111.117
2.322	113.851
2.373	116.038
2.422	118.225
2.472	120.412
2.523	123.145
2.572	125.332
2.622	127.519
2.672	129.706
2.722	132.440
2.772	134.627
2.822	136.814
2.872	139.548
2.922	141.735
2.972	144.468
3.022	146.655
3.072	148.842
3.122	151.576
3.172	153.763
3.222	155.950
3.272	158.137
3.322	160.871
3.372	163.058
3.422	165.245
3.472	167.432
3.522	170.165
3.572	172.352
3.622	174.539
3.672	176.726
3.722	178.913
3.772	181.100
3.822	183.287
3.872	186.021
3.922	188.755
3.972	190.942
4.022	193.675
4.072	195.862
4.122	198.049
4.172	200.236
4.223	202.423
4.272	204.610
4.322	207.344
4.372	209.531
4.423	211.718
4.472	214.452
4.522	216.638
4.572	218.825
4.622	221.559
4.672	223.746
4.722	225.933
4.772	228.667
4.822	230.307
4.872	233.041
4.922	235.775
4.972	237.962
5.022	239.602
5.072	242.335
5.122	244.522
5.172	246.709
5.222	249.443
5.272	251.630
5.322	254.364
5.372	254.911
5.422	0.000
5.472	0.000
5.522	0.000
5.572	0.000
5.622	0.000
5.672	0.000
5.722	0.000
5.772	0.000
5.822	0.000
5.872	0.000
5.922	0.000
5.972	0.000
6.022	0.000
6.072	0.000
6.122	0.000
6.172	0.000
6.222	0.000
6.272	0.000
6.322	0.000
6.372	0.000
6.422	0.000
6.472	0.000
6.522	0.000
6.572	0.000
6.622	0.000
6.672	0.000
6.723	0.000
6.772	0.000
6.822	0.000
6.872	0.000
6.922	0.000
6.973	0.000
