Motion Through Fluids Experiment Wed, Mar 02, 2022 10:31 AM
Time(sec)	Position(mm)
0.014	0.000
0.114	1.768
0.164	8.329
0.214	15.437
0.264	21.998
0.314	29.652
0.364	36.760
0.414	44.414
0.464	51.522
0.514	59.176
0.564	66.831
0.614	74.485
0.664	82.140
0.714	89.794
0.764	97.448
0.814	105.103
0.864	113.304
0.914	120.958
0.964	128.613
1.014	136.814
1.064	145.015
1.114	153.216
1.164	161.417
1.214	169.072
1.264	177.273
1.314	185.474
1.364	193.675
1.414	201.876
1.464	210.078
1.514	218.279
1.564	225.933
1.614	234.134
1.664	241.789
1.714	249.990
1.764	0.000
1.814	0.000
1.864	0.000
1.914	0.000
1.964	0.000
2.014	0.000
2.064	0.000
2.114	0.000
2.164	0.000
2.214	0.000
2.264	0.000
2.314	0.000
2.364	0.000
2.414	0.000
2.464	0.000
2.514	0.000
