Motion Through Fluids Experiment Wed, Mar 02, 2022 10:35 AM
Time(sec)	Position(mm)
0.020	24.732
0.120	35.120
0.170	40.587
0.220	46.055
0.271	53.162
0.320	57.536
0.370	63.550
0.420	69.564
0.470	75.579
0.520	81.593
0.570	87.060
0.620	93.621
0.670	99.635
0.720	105.103
0.770	110.024
0.820	115.491
0.870	120.412
0.920	125.332
0.970	130.253
1.020	135.720
1.070	140.641
1.120	145.562
1.170	150.483
1.220	155.403
1.270	159.777
1.320	164.698
1.370	169.619
1.420	174.539
1.470	180.007
1.520	185.474
1.570	190.942
1.620	196.956
1.670	202.970
1.720	209.531
1.770	215.545
1.820	222.106
1.870	228.120
1.920	234.681
1.970	240.695
2.020	246.709
2.070	253.270
2.120	0.000
2.170	0.000
2.220	0.000
2.270	0.000
2.321	0.000
2.370	0.000
2.420	0.000
2.470	0.000
2.520	0.000
2.570	0.000
2.620	0.000
