Motion Through Fluids Experiment Wed, Mar 02, 2022 9:58 AM
Time(sec)	Position(mm)
0.001	0.000
0.201	0.675
0.401	0.675
0.601	0.000
0.801	0.000
1.001	0.675
1.201	0.675
1.401	1.222
1.601	0.675
1.801	0.675
2.001	0.675
2.201	0.675
2.401	0.000
2.601	0.000
2.801	0.000
3.001	0.675
3.201	1.222
3.408	1.222
3.601	1.768
3.801	2.315
4.001	2.315
4.201	2.862
4.409	3.409
4.601	3.409
4.801	3.955
5.001	4.502
5.201	5.049
5.401	5.049
5.601	5.595
5.801	6.142
6.001	6.142
6.201	6.689
6.401	7.236
6.601	7.782
6.801	7.782
7.001	8.329
7.201	8.876
7.401	8.876
7.601	9.423
7.801	9.969
8.001	10.516
8.201	10.516
8.401	11.063
8.601	11.063
8.801	11.610
9.001	12.156
9.201	12.703
9.401	13.250
9.601	13.250
9.801	13.797
10.001	13.797
10.201	14.343
10.401	14.890
10.601	15.437
10.801	15.437
11.001	15.984
11.201	16.530
11.401	16.530
11.601	17.624
11.801	17.624
12.001	18.171
12.201	18.717
12.401	18.717
12.601	19.264
12.801	19.811
13.001	20.358
13.201	20.358
13.402	20.904
13.601	21.451
13.801	21.451
14.001	21.998
14.202	22.545
14.401	23.091
14.601	23.638
14.801	23.638
15.001	24.185
15.201	24.732
15.401	25.278
15.602	25.825
15.801	25.825
16.001	26.372
16.201	26.918
16.401	26.918
16.601	27.465
16.802	28.012
17.001	28.559
17.201	28.559
17.401	29.105
17.601	29.652
17.801	30.199
18.001	30.199
18.201	30.746
18.401	31.292
18.601	31.839
18.801	31.839
19.002	32.386
19.201	32.933
19.401	33.479
19.601	34.026
19.802	34.026
20.001	34.573
20.201	35.120
20.401	35.120
20.601	35.666
20.801	36.213
21.002	36.213
21.201	36.760
21.401	37.307
21.601	37.853
21.801	37.853
22.001	38.400
22.201	38.947
22.401	39.494
22.601	39.494
22.801	40.040
23.001	40.587
23.201	41.134
23.401	41.134
23.601	41.681
23.801	42.227
24.001	42.227
24.201	42.774
24.401	43.321
24.601	43.868
24.801	43.868
25.001	44.414
25.201	44.961
25.401	45.508
25.601	46.055
25.802	46.055
26.001	46.601
26.201	47.148
26.402	47.148
26.601	47.695
26.801	48.241
27.001	48.788
27.201	48.788
27.401	49.335
27.601	49.882
27.801	50.428
28.001	50.428
28.201	50.975
28.401	51.522
28.601	52.069
28.801	52.615
29.001	52.615
29.201	53.162
29.401	53.709
29.601	53.709
29.801	54.256
30.002	54.802
30.201	55.349
30.401	55.349
30.601	55.896
30.801	56.443
31.001	56.989
31.201	56.989
31.401	57.536
31.601	58.083
31.801	58.630
32.001	59.176
32.201	59.176
32.401	59.723
32.601	60.270
32.801	60.270
33.001	60.817
33.201	61.363
33.401	61.910
33.601	61.910
33.801	62.457
34.001	63.004
34.201	63.550
34.401	63.550
34.601	64.097
34.801	64.644
35.001	65.191
35.201	65.737
35.401	66.284
35.601	66.284
35.801	66.831
36.001	67.378
36.202	67.378
36.401	67.924
36.601	68.471
36.801	69.018
37.001	69.018
37.201	69.564
37.401	70.111
37.602	70.658
37.801	70.658
38.001	71.205
38.201	71.751
38.401	72.298
38.601	72.845
38.801	72.845
39.001	73.392
39.201	73.938
39.401	74.485
39.601	74.485
39.801	75.032
