Motion Through Fluids Experiment Wed, Mar 02, 2022 10:07 AM
Time(sec)	Position(mm)
0.173	0.675
0.373	1.222
0.573	1.222
0.773	1.222
0.973	1.222
1.173	1.222
1.373	1.222
1.573	1.222
1.773	1.222
1.973	1.222
2.173	1.768
2.373	0.675
2.573	14.890
2.773	16.530
2.973	17.077
3.173	18.717
3.373	19.811
3.573	21.451
3.773	23.091
3.973	24.732
4.173	26.372
4.373	28.012
4.573	29.105
4.773	30.746
4.973	32.386
5.173	34.026
5.373	35.666
5.573	37.307
5.773	38.400
5.973	40.040
6.173	41.681
6.373	43.321
6.573	44.961
6.773	46.601
6.973	47.695
7.174	49.335
7.373	50.975
7.573	52.069
7.773	53.709
7.973	55.349
8.173	56.989
8.373	58.630
8.574	60.270
8.773	61.910
8.973	63.004
9.173	64.644
9.373	66.284
9.573	67.378
9.773	69.018
9.973	70.658
10.173	72.298
10.373	73.938
10.573	75.579
10.773	77.219
10.974	78.859
11.173	79.953
11.373	81.593
11.573	83.233
11.773	84.873
11.973	86.514
12.173	87.607
12.373	89.247
12.573	90.887
12.773	92.528
12.973	93.621
13.173	95.261
13.373	96.902
13.573	98.542
13.774	100.182
13.973	101.822
14.173	102.916
14.373	104.556
14.573	106.196
14.773	107.290
14.973	108.930
15.173	110.570
15.373	112.210
15.573	113.851
15.773	115.491
15.973	117.131
16.173	118.225
16.373	119.865
16.573	121.505
16.773	123.145
16.973	124.786
17.173	125.879
17.373	127.519
17.573	129.160
17.773	130.800
17.973	131.893
18.173	133.533
18.373	135.174
18.573	136.814
18.773	138.454
18.974	139.548
19.173	141.188
19.373	142.828
19.573	144.468
19.773	145.562
19.973	147.202
20.173	148.842
20.374	150.483
20.573	152.123
20.773	153.763
20.973	154.856
21.173	156.497
21.373	158.137
21.573	159.230
21.774	160.871
21.984	162.511
22.173	164.151
22.373	165.791
22.573	167.432
22.773	168.525
22.973	170.165
23.173	171.806
23.373	173.446
23.573	175.086
23.773	176.726
23.973	177.820
24.173	179.460
24.373	181.100
24.573	182.740
24.773	183.834
24.973	185.474
25.173	187.114
25.373	188.755
25.573	189.848
25.773	191.488
25.973	193.129
26.173	194.769
26.373	196.409
26.573	198.049
26.773	199.143
26.973	200.783
27.173	202.423
27.373	204.063
27.573	205.157
27.773	206.797
27.973	208.437
28.173	210.078
28.373	211.718
28.573	212.811
28.773	214.452
28.973	216.092
29.173	217.732
29.373	218.825
29.573	220.466
29.773	222.106
29.973	223.746
30.173	225.386
30.373	226.480
30.573	228.120
30.773	229.760
30.973	231.401
31.173	233.041
31.374	234.134
31.573	235.775
31.773	237.415
31.973	239.055
32.173	240.148
32.373	241.789
32.573	243.429
32.773	244.522
32.973	246.163
33.173	247.803
33.373	249.443
33.573	250.537
33.773	252.177
33.973	253.817
34.173	254.911
34.373	0.000
34.573	0.000
34.773	0.000
34.973	0.000
35.173	0.000
35.373	0.000
35.573	0.000
35.773	0.000
35.973	0.000
36.173	0.000
36.373	0.000
36.573	0.000
36.773	0.000
