Motion Through Fluids Experiment Wed, Mar 02, 2022 10:01 AM
Time(sec)	Position(mm)
0.019	0.000
0.219	0.000
0.420	0.000
0.619	0.000
0.819	0.000
1.019	0.000
1.219	0.000
1.419	0.000
1.619	0.000
1.819	0.000
2.019	0.000
2.219	0.000
2.419	0.000
2.619	0.000
2.819	0.675
3.019	0.000
3.219	1.222
3.419	1.768
3.620	1.768
3.819	2.315
4.019	2.862
4.219	2.862
4.419	3.409
4.619	3.955
4.819	3.955
5.019	4.502
5.219	5.049
5.419	5.049
5.619	5.595
5.819	5.595
6.019	6.142
6.219	6.689
6.420	7.236
6.619	7.782
6.819	7.782
7.019	8.329
7.219	8.329
7.419	8.876
7.619	9.423
7.819	9.423
8.019	9.969
8.219	10.516
8.419	11.063
8.619	11.063
8.820	11.610
9.019	12.156
9.219	12.703
9.419	12.703
9.619	13.250
9.819	13.797
10.019	13.797
10.219	14.343
10.419	14.890
10.619	15.437
10.820	15.437
11.019	15.984
11.219	16.530
11.419	17.077
11.619	17.077
11.819	17.624
12.019	18.171
12.220	18.717
12.419	18.717
12.619	19.264
12.819	19.811
13.019	19.811
13.219	20.358
13.419	20.904
13.619	21.451
13.819	21.451
14.019	21.998
14.219	22.545
14.419	23.091
14.619	23.091
14.819	23.638
15.019	24.185
15.219	24.732
15.419	24.732
15.619	25.278
15.819	25.825
16.019	25.825
16.219	26.372
16.419	26.918
16.619	27.465
16.819	28.012
17.019	28.012
17.219	28.559
17.419	29.105
17.619	29.652
17.819	29.652
18.019	30.199
18.219	30.746
18.419	30.746
18.619	31.292
18.819	31.839
19.019	31.839
19.219	32.386
19.419	32.933
19.619	33.479
19.819	34.026
20.019	34.026
20.219	34.573
20.419	35.120
20.619	35.666
20.819	35.666
21.019	36.213
21.219	36.760
21.419	36.760
21.619	37.307
21.819	37.853
22.019	38.400
22.219	38.400
22.419	38.947
22.619	39.494
22.819	40.040
23.020	40.587
23.219	40.587
23.419	41.134
23.619	41.681
23.820	41.681
24.020	42.227
24.220	42.774
24.419	42.774
24.619	43.321
24.819	43.868
25.019	44.414
25.220	44.414
25.419	45.508
25.619	45.508
25.820	46.055
26.019	46.601
26.219	47.148
26.420	47.148
26.619	47.695
26.819	48.241
27.019	48.241
27.219	48.788
27.419	49.335
27.619	49.882
27.819	49.882
28.019	50.428
28.219	50.975
28.419	51.522
28.619	52.069
28.819	52.069
29.019	52.615
29.219	53.162
29.419	53.709
29.619	54.256
29.819	54.256
30.019	54.802
30.219	55.349
30.420	55.349
30.619	55.896
30.819	56.443
31.019	56.989
31.219	56.989
31.419	57.536
31.619	58.083
31.819	58.630
32.020	59.176
32.219	59.723
32.419	59.723
32.620	60.270
32.819	60.270
33.019	60.817
33.219	61.363
33.419	61.910
33.619	61.910
33.819	62.457
34.019	63.004
34.219	63.550
34.419	63.550
34.619	64.097
34.819	64.644
35.019	65.191
35.219	65.737
35.419	65.737
35.619	66.284
35.819	66.831
36.019	66.831
36.219	67.378
36.419	67.924
36.619	68.471
36.819	68.471
37.019	69.018
37.219	69.564
37.419	70.111
37.620	70.658
37.819	70.658
38.019	71.205
38.219	71.751
38.419	72.298
38.619	72.298
38.819	72.845
39.019	73.392
39.219	73.938
39.419	73.938
39.619	74.485
39.819	75.032
40.019	75.579
40.219	75.579
40.419	76.125
40.619	76.672
40.819	77.219
41.019	77.219
41.219	77.766
41.419	78.312
41.619	78.859
41.819	78.859
42.019	79.406
42.219	79.953
42.419	80.499
42.619	80.499
42.819	81.046
43.019	81.593
43.219	82.140
43.419	82.140
43.619	82.686
43.820	83.233
44.019	83.780
44.219	83.780
44.419	84.327
44.619	84.873
44.819	85.420
45.019	85.967
45.219	85.967
45.419	86.514
45.619	87.060
45.819	87.607
46.019	87.607
46.219	88.154
46.419	88.701
46.619	89.247
46.819	89.247
47.019	89.794
47.219	90.341
47.419	90.887
47.619	90.887
47.819	91.434
48.019	91.981
48.219	92.528
48.419	93.074
48.619	93.074
48.819	93.621
49.019	94.168
49.219	94.168
49.419	94.715
49.619	95.261
49.820	95.808
50.019	95.808
50.219	96.355
50.419	96.902
50.619	97.448
50.819	97.995
51.019	98.542
51.219	98.542
51.419	99.089
51.619	99.635
51.819	99.635
52.019	100.182
52.219	100.729
52.419	101.276
52.619	101.276
52.819	101.822
53.019	102.369
53.219	102.916
53.419	103.463
53.619	103.463
53.819	104.009
54.019	104.556
54.220	105.103
54.419	105.103
54.619	105.650
54.819	106.196
55.019	106.196
55.220	106.743
55.419	107.290
55.619	107.837
55.819	108.383
56.020	108.383
56.219	108.930
56.419	109.477
56.619	110.024
56.819	110.024
57.019	110.570
57.219	111.117
57.420	111.664
57.620	111.664
57.819	112.210
58.019	112.757
58.219	113.304
58.419	113.304
58.619	113.851
58.819	114.397
59.019	114.944
59.219	115.491
59.419	115.491
59.619	116.038
59.819	116.584
60.019	117.131
60.219	117.131
60.419	117.678
60.619	118.225
60.819	118.771
61.019	119.318
61.219	119.318
61.419	119.865
61.619	120.412
61.819	120.958
62.019	120.958
62.219	121.505
62.419	122.052
62.619	122.599
62.819	122.599
63.019	123.145
63.219	123.692
63.420	124.239
63.620	124.239
63.819	124.786
64.019	125.332
64.219	125.879
64.419	126.426
64.619	126.426
64.819	126.973
65.019	127.519
65.219	127.519
65.419	128.066
65.619	128.613
65.819	129.160
66.019	129.706
66.219	129.706
66.419	130.253
66.619	130.800
66.819	131.347
67.019	131.347
67.219	131.893
67.419	132.440
67.619	132.987
67.819	132.987
68.019	133.533
68.219	134.080
68.419	134.627
68.619	134.627
68.819	135.174
69.019	135.720
69.219	136.267
69.419	136.267
69.619	136.814
69.819	137.361
70.019	137.907
70.219	137.907
70.419	138.454
70.619	139.001
70.820	139.548
71.019	140.094
71.219	140.094
71.419	140.641
71.619	141.188
71.819	141.735
72.019	142.281
72.219	142.281
72.419	142.828
72.619	143.375
72.819	143.375
73.019	143.922
73.219	144.468
73.419	145.015
73.619	145.015
73.819	145.562
74.020	146.109
74.219	146.655
74.419	146.655
74.619	147.202
74.819	147.749
75.019	148.296
75.219	148.842
75.419	148.842
75.619	149.389
75.819	149.936
76.019	150.483
76.219	150.483
76.419	151.029
76.619	151.576
76.819	152.123
77.019	152.670
77.219	152.670
77.419	153.216
77.619	153.763
