Motion Through Fluids Experiment Wed, Mar 02, 2022 9:49 AM
Time(sec)	Position(mm)
0.028	14.890
0.078	16.530
0.128	17.624
0.179	19.264
0.228	20.358
0.278	21.998
0.328	23.091
0.378	24.732
0.428	25.825
0.478	27.465
0.528	28.559
0.578	30.199
0.628	31.292
0.678	32.933
0.728	34.026
0.778	35.666
0.828	37.307
0.878	38.400
0.928	40.040
0.978	41.134
1.028	42.774
1.078	43.868
1.128	45.508
1.179	47.148
1.228	48.241
1.278	49.882
1.329	50.975
1.378	52.615
1.428	53.709
1.478	55.349
1.528	56.443
1.578	58.083
1.628	59.176
1.678	60.817
1.728	62.457
1.778	63.550
1.828	65.191
1.878	66.284
1.928	67.924
1.978	69.564
2.028	70.658
2.078	72.298
2.128	73.392
2.179	75.032
2.228	76.125
2.278	77.766
2.328	79.406
2.378	80.499
2.428	82.140
2.478	83.233
2.528	84.873
2.578	85.967
2.628	87.607
2.678	88.701
2.728	90.341
2.778	91.434
2.828	93.074
2.878	94.168
2.929	95.808
2.978	96.902
3.028	98.542
3.078	100.182
3.128	101.276
3.178	102.916
3.228	104.009
3.278	105.650
3.328	107.290
3.379	108.383
3.429	110.024
3.478	111.117
3.528	112.757
3.578	113.851
3.628	115.491
3.678	116.584
3.728	117.678
3.778	119.865
3.828	120.958
3.878	122.599
3.928	123.692
3.978	125.332
4.028	126.426
4.078	127.519
4.128	129.160
4.178	130.800
4.228	131.893
4.278	133.533
4.328	134.627
4.378	136.267
4.428	137.361
4.478	139.001
4.528	140.094
4.578	141.735
4.628	142.828
4.678	144.468
4.728	145.562
4.778	147.202
4.828	148.842
4.878	149.936
4.928	151.576
4.978	152.670
5.028	154.310
5.078	155.950
5.128	157.043
5.178	158.684
5.228	159.230
5.278	161.417
5.328	162.511
5.378	164.151
5.428	165.245
5.478	166.885
5.528	167.978
5.578	169.619
5.628	170.712
5.678	172.352
5.728	173.446
5.778	175.086
5.828	176.179
5.878	177.820
5.928	179.460
5.978	180.553
6.028	182.194
6.078	183.287
6.128	184.927
6.178	186.021
6.228	187.661
6.278	188.755
6.328	190.395
6.378	191.488
6.428	193.129
6.478	194.769
6.528	195.862
6.578	197.502
6.628	198.596
6.678	200.236
6.728	201.330
6.778	202.970
6.828	204.063
6.878	205.704
6.928	207.344
6.978	207.891
7.028	210.078
7.078	211.171
7.128	212.265
7.178	213.905
7.228	214.998
7.278	216.638
7.328	217.732
7.378	219.372
7.428	220.466
7.478	222.106
7.531	223.746
7.578	224.840
7.628	226.480
7.678	227.573
7.728	229.214
7.779	230.307
7.828	231.947
7.878	233.041
7.929	234.681
7.978	235.775
8.028	237.415
8.078	238.508
8.128	240.148
8.178	241.242
8.228	242.882
8.278	243.976
8.328	245.616
8.378	246.709
8.428	248.350
8.478	249.443
8.530	251.083
8.578	252.177
8.628	253.817
8.678	254.911
8.728	255.457
8.778	0.000
8.828	0.000
8.878	0.000
8.928	0.000
8.978	0.000
9.028	0.000
9.078	0.000
9.128	0.000
9.178	0.000
9.228	0.000
9.278	0.000
9.328	0.000
9.378	0.000
9.428	0.000
9.478	0.000
9.528	0.000
9.578	0.000
9.629	0.000
9.678	0.000
9.728	0.000
9.778	0.000
9.828	0.000
9.879	0.000
9.928	0.000
9.978	0.000
