Motion Through Fluids Experiment Wed, Mar 02, 2022 10:38 AM
Time(sec)	Position(mm)
0.036	0.000
0.086	0.000
0.136	0.000
0.186	0.000
0.236	0.000
0.286	1.768
0.336	6.142
0.386	11.063
0.436	15.984
0.487	20.904
0.536	25.825
0.586	31.292
0.636	36.760
0.686	42.227
0.736	47.695
0.786	53.162
0.836	58.630
0.886	64.097
0.936	69.564
0.986	75.032
1.036	81.046
1.086	86.514
1.137	92.528
1.186	97.448
1.236	102.916
1.286	108.930
1.336	114.397
1.386	119.865
1.436	125.332
1.486	130.253
1.536	135.720
1.586	141.188
1.636	147.202
1.686	152.670
1.736	157.590
1.786	163.604
1.836	169.072
1.886	174.539
1.936	180.007
1.986	185.474
2.036	190.942
2.086	196.409
2.137	201.876
2.186	207.344
2.236	212.265
2.287	217.732
2.336	223.199
2.386	228.667
2.436	233.588
2.486	239.055
2.536	244.522
2.586	248.896
2.636	254.911
2.686	0.000
2.736	0.000
2.786	0.000
2.836	0.000
2.886	0.000
2.936	0.000
