Motion Through Fluids Experiment Wed, Mar 02, 2022 10:36 AM
Time(sec)	Position(mm)
0.048	7.236
0.099	12.156
0.148	18.171
0.198	23.091
0.248	29.105
0.298	34.573
0.348	40.587
0.398	46.055
0.448	52.615
0.498	58.083
0.548	64.644
0.598	70.658
0.648	76.672
0.698	82.686
0.748	88.701
0.798	95.261
0.848	101.276
0.898	107.290
0.948	113.851
0.998	119.865
1.048	126.426
1.098	132.440
1.148	139.001
1.198	145.562
1.248	151.576
1.298	158.137
1.348	164.698
1.398	171.259
1.448	177.820
1.498	183.834
1.548	190.395
1.598	196.956
1.648	202.970
1.698	209.531
1.748	216.092
1.798	222.106
1.848	228.120
1.898	235.228
1.948	241.242
1.998	247.256
2.048	253.817
2.098	0.000
2.148	0.000
2.198	0.000
2.248	0.000
2.298	0.000
2.348	0.000
2.398	0.000
2.448	0.000
2.498	0.000
2.548	0.000
2.598	0.000
