Motion Through Fluids Experiment Wed, Mar 02, 2022 10:49 AM
Time(sec)	Position(mm)
0.036	11.063
0.087	14.890
0.136	18.171
0.186	21.998
0.236	24.732
0.286	28.559
0.336	32.386
0.386	35.666
0.436	39.494
0.486	43.321
0.536	46.601
0.586	50.428
0.636	54.256
0.686	58.083
0.736	61.363
0.786	65.191
0.836	68.471
0.886	72.298
0.936	76.125
0.986	79.406
1.036	83.233
1.086	86.514
1.136	90.341
1.186	94.168
1.236	97.448
1.286	101.276
1.336	104.556
1.386	108.383
1.436	112.210
1.486	116.038
1.536	119.318
1.586	123.145
1.636	126.426
1.686	130.253
1.736	133.533
1.786	137.361
1.836	140.641
1.886	144.468
1.936	148.296
1.986	151.576
2.036	155.403
2.086	159.230
2.136	162.511
2.186	166.338
2.236	169.619
2.286	173.446
2.336	177.273
2.387	180.553
2.436	184.381
2.486	188.208
2.536	191.488
2.586	195.316
2.636	199.143
2.686	202.423
2.736	206.250
2.786	210.078
2.836	213.358
2.886	217.185
2.936	220.466
2.986	224.293
3.036	228.120
3.086	230.854
3.136	235.228
3.186	239.055
3.236	242.335
3.286	246.163
3.336	249.443
3.386	0.000
3.436	0.000
3.486	0.000
3.536	0.000
3.586	0.000
3.636	0.000
3.686	0.000
3.736	0.000
3.786	0.000
3.836	0.000
3.886	0.000
3.936	0.000
