Motion Through Fluids Experiment Wed, Mar 02, 2022 10:30 AM
Time(sec)	Position(mm)
0.023	34.026
0.123	44.961
0.173	50.975
0.223	58.083
0.273	64.097
0.323	71.751
0.373	78.859
0.423	85.420
0.473	93.074
0.523	100.182
0.573	107.837
0.623	116.038
0.674	123.692
0.723	131.347
0.773	139.001
0.823	146.109
0.873	153.763
0.924	161.417
0.973	168.525
1.023	176.179
1.073	183.287
1.123	190.942
1.173	198.596
1.223	206.250
1.273	213.905
1.323	222.106
1.373	229.214
1.423	236.868
1.473	244.522
1.523	252.724
1.573	0.000
1.623	0.000
1.673	0.000
1.723	0.000
1.773	0.000
1.823	0.000
1.873	0.000
1.923	0.000
1.973	0.000
2.023	0.000
2.073	0.000
2.123	0.000
2.173	0.000
2.223	0.000
2.273	0.000
2.323	0.000
2.373	0.000
2.423	0.000
