Motion Through Fluids Experiment Wed, Mar 02, 2022 9:46 AM
Time(sec)	Position(mm)
0.042	6.142
0.093	8.876
0.142	10.516
0.192	12.703
0.242	14.890
0.292	17.077
0.342	19.264
0.392	21.998
0.442	24.185
0.492	26.372
0.542	28.559
0.592	30.746
0.642	33.479
0.692	36.213
0.742	38.400
0.792	40.587
0.842	42.774
0.892	45.508
0.942	47.695
0.992	49.882
1.042	52.615
1.092	54.802
1.142	56.989
1.192	59.723
1.242	61.910
1.292	64.097
1.342	66.284
1.392	69.018
1.442	71.751
1.492	73.392
1.542	76.672
1.593	78.859
1.642	81.046
1.692	83.233
1.742	85.967
1.793	88.154
1.842	90.341
1.892	93.074
1.942	95.261
1.992	97.448
2.042	100.182
2.092	102.369
2.142	105.103
2.192	106.743
2.242	109.477
2.292	112.210
2.342	114.397
2.392	116.584
2.443	118.771
2.492	120.958
2.542	123.145
2.592	125.879
2.642	128.066
2.692	130.253
2.742	132.987
2.792	135.174
2.842	137.907
2.893	139.548
2.942	142.281
2.992	145.015
3.042	147.202
3.092	149.389
3.142	151.576
3.192	154.310
3.242	156.497
3.292	158.684
3.342	161.417
3.392	163.604
3.443	166.338
3.492	168.525
3.542	170.712
3.592	173.446
3.642	175.633
3.692	177.820
3.742	180.553
3.792	182.740
3.842	184.927
3.892	187.661
3.942	189.301
3.992	191.488
4.042	194.222
4.092	196.409
4.142	199.143
4.192	201.330
4.242	204.063
4.293	206.250
4.343	208.437
4.392	211.171
4.442	213.358
4.492	215.545
4.542	218.279
4.592	219.919
4.642	222.653
4.693	225.386
4.742	227.573
4.792	229.760
4.842	232.494
4.892	234.681
4.943	236.868
4.992	238.508
5.042	241.242
5.092	243.976
5.142	246.163
5.192	248.350
5.242	251.083
5.292	253.270
5.342	254.911
5.392	0.000
5.443	0.000
5.492	0.000
5.542	0.000
5.592	0.000
5.642	0.000
5.692	0.000
5.742	0.000
5.792	0.000
5.842	0.000
5.892	0.000
5.942	0.000
5.992	0.000
6.042	0.000
6.092	0.000
6.142	0.000
6.192	0.000
6.242	0.000
6.292	0.000
6.342	0.000
6.392	0.000
6.442	0.000
6.492	0.000
6.542	0.000
6.592	0.000
6.642	0.000
6.692	0.000
6.742	0.000
6.792	0.000
6.842	0.000
6.892	0.000
6.942	0.000
6.993	0.000
