Motion Through Fluids Experiment Wed, Mar 02, 2022 10:47 AM
Time(sec)	Position(mm)
0.003	0.000
0.103	2.862
0.153	6.142
0.203	9.423
0.253	12.703
0.303	15.984
0.353	19.811
0.403	23.091
0.453	26.918
0.503	30.199
0.553	34.026
0.603	37.853
0.653	41.134
0.703	44.961
0.753	48.241
0.803	52.069
0.853	55.349
0.903	59.176
0.953	62.457
1.003	66.284
1.053	69.564
1.103	73.392
1.153	77.219
1.203	80.499
1.253	84.327
1.303	87.060
1.353	90.341
1.403	93.621
1.453	97.448
1.503	100.729
1.553	104.009
1.603	107.290
1.653	110.570
1.703	113.851
1.753	117.131
1.804	120.958
1.853	124.239
1.903	128.066
1.953	131.347
2.003	134.627
2.053	138.454
2.103	141.735
2.153	145.562
2.203	149.389
2.253	152.670
2.303	155.950
2.353	159.777
2.404	163.058
2.453	166.885
2.503	170.165
2.553	173.992
2.603	177.273
2.653	181.100
2.703	184.381
2.753	188.208
2.803	191.488
2.853	194.769
2.903	198.596
2.953	201.876
3.003	205.704
3.053	208.984
3.103	212.811
3.153	216.092
3.203	219.919
3.253	223.199
3.303	227.027
3.353	230.307
3.403	234.134
3.453	237.415
3.503	241.242
3.554	244.522
3.603	248.350
3.653	251.630
3.703	0.000
3.753	0.000
3.803	0.000
3.853	0.000
3.903	0.000
3.953	0.000
4.003	0.000
4.053	0.000
4.103	0.000
4.153	0.000
4.203	0.000
4.253	0.000
4.303	0.000
4.353	0.000
4.403	0.000
4.453	0.000
4.503	0.000
4.553	0.000
4.603	0.000
4.653	0.000
4.703	0.000
4.753	0.000
