Motion Through Fluids Experiment Wed, Mar 02, 2022 10:48 AM
Time(sec)	Position(mm)
0.016	2.315
0.066	5.595
0.116	9.423
0.166	12.703
0.216	15.984
0.267	19.811
0.316	23.638
0.366	26.918
0.416	30.746
0.466	34.026
0.516	37.853
0.566	41.134
0.616	44.961
0.666	48.788
0.716	52.615
0.766	55.896
0.816	59.723
0.866	63.550
0.916	66.831
0.966	70.658
1.016	73.938
1.066	77.766
1.116	81.593
1.166	85.420
1.216	88.701
1.266	92.528
1.316	96.355
1.366	99.635
1.416	103.463
1.466	106.743
1.516	110.570
1.566	114.397
1.616	118.225
1.666	121.505
1.716	125.332
1.766	129.160
1.816	132.440
1.866	136.267
1.916	140.094
1.966	143.375
2.016	147.202
2.066	151.029
2.116	154.310
2.166	158.137
2.216	161.964
2.266	165.245
2.316	169.072
2.366	172.352
2.416	176.179
2.466	180.007
2.516	183.287
2.566	187.114
2.616	190.395
2.666	194.222
2.716	197.502
2.766	201.330
2.816	204.610
2.866	208.437
2.916	212.265
2.966	215.545
3.016	219.372
3.066	222.106
3.116	225.933
3.166	229.760
3.216	233.041
3.266	236.868
3.316	240.148
3.366	243.976
3.416	247.256
3.466	251.083
3.516	254.911
3.566	0.000
3.616	0.000
3.666	0.000
3.717	0.000
3.766	0.000
3.816	0.000
3.866	0.000
3.916	0.000
3.966	0.000
4.016	0.000
4.066	0.000
4.116	0.000
4.166	0.000
4.216	0.000
4.266	0.000
