Motion Through Fluids Experiment Wed, Mar 02, 2022 10:43 AM
Time(sec)	Position(mm)
0.006	5.049
0.106	13.797
0.156	18.171
0.206	22.545
0.256	27.465
0.306	32.386
0.356	36.760
0.406	41.134
0.456	46.055
0.506	50.975
0.556	55.349
0.606	59.723
0.656	64.097
0.706	69.018
0.756	73.392
0.806	78.312
0.856	82.686
0.906	87.060
0.956	91.981
1.006	96.355
1.056	101.276
1.106	105.650
1.156	110.570
1.206	114.944
1.256	119.865
1.306	124.239
1.356	129.160
1.406	133.533
1.456	138.454
1.506	142.828
1.556	147.749
1.606	152.123
1.656	156.497
1.706	161.417
1.756	165.791
1.806	170.712
1.856	175.086
1.906	180.007
1.956	183.834
2.006	188.755
2.056	193.675
2.106	198.049
2.156	201.876
2.206	206.250
2.256	211.171
2.306	215.545
2.356	220.466
2.406	224.840
2.456	229.214
2.506	234.134
2.556	239.055
2.606	243.429
2.656	248.350
2.706	252.724
2.756	0.000
2.806	0.000
2.856	0.000
2.907	0.000
2.956	0.000
3.006	0.000
3.056	0.000
3.106	0.000
3.156	0.000
3.206	0.000
3.256	0.000
3.306	0.000
3.356	0.000
3.406	0.000
