Motion Through Fluids Experiment Wed, Mar 02, 2022 9:44 AM
Time(sec)	Position(mm)
0.013	12.703
0.063	14.890
0.113	17.077
0.263	24.185
0.313	26.372
0.364	28.012
0.414	30.746
0.463	32.933
0.513	35.120
0.563	37.853
0.613	40.040
0.663	42.227
0.713	44.414
0.763	47.148
0.813	49.335
0.864	52.069
0.914	53.709
0.963	56.443
1.014	59.176
1.063	61.363
1.113	63.550
1.163	65.737
1.214	68.471
1.263	70.658
1.313	72.845
1.363	75.579
1.414	77.766
1.463	79.953
1.513	82.686
1.563	84.873
1.613	87.060
1.663	89.794
1.713	91.434
1.763	94.168
1.813	96.902
1.863	99.089
1.913	101.276
1.963	103.463
2.013	105.650
2.063	108.383
2.113	110.570
2.163	112.757
2.215	115.491
2.263	117.678
2.313	119.865
2.363	122.052
2.413	124.239
2.463	126.973
2.513	129.706
2.564	131.893
2.613	134.080
2.663	136.267
2.714	139.001
2.764	141.188
2.813	143.375
2.863	145.562
2.913	147.749
2.963	149.936
3.013	152.670
3.063	154.856
3.113	157.043
3.163	159.777
3.213	161.417
3.263	164.151
3.313	166.885
3.363	169.072
3.413	171.806
3.463	173.992
3.513	176.179
3.563	178.366
3.613	180.553
3.663	182.740
3.713	185.474
3.763	187.661
3.813	189.848
3.863	192.582
3.913	194.769
3.964	196.956
4.013	199.689
4.063	201.330
4.113	204.063
4.163	206.250
4.213	208.984
4.263	210.624
4.313	213.358
4.363	215.545
4.413	218.279
4.463	220.466
4.513	222.653
4.563	225.386
4.613	227.573
4.663	229.760
4.713	231.947
4.763	234.681
4.813	236.868
4.863	239.055
4.913	241.242
4.963	243.429
5.013	246.163
5.063	248.350
5.113	251.083
5.163	252.724
5.213	254.911
5.263	0.000
5.313	0.000
5.364	0.000
5.413	0.000
5.463	0.000
5.513	0.000
5.563	0.000
5.613	0.000
5.663	0.000
5.713	0.000
5.763	0.000
5.813	0.000
5.863	0.000
5.913	0.000
5.963	0.000
6.013	0.000
6.063	0.000
6.113	0.000
6.163	0.000
6.213	0.000
6.263	0.000
6.313	0.000
6.363	0.000
6.413	0.000
6.463	0.000
6.513	0.000
6.563	0.000
6.613	0.000
6.663	0.000
6.714	0.000
6.763	0.000
6.813	0.000
6.863	0.000
6.913	0.000
6.963	0.000
7.013	0.000
7.064	0.000
7.113	0.000
7.163	0.000
7.213	0.000
7.263	0.000
7.313	0.000
7.363	0.000
7.413	0.000
7.463	0.000
7.514	0.000
7.563	0.000
