Motion Through Fluids Experiment Wed, Mar 02, 2022 10:41 AM
Time(sec)	Position(mm)
0.041	0.000
0.091	2.315
0.141	0.000
0.191	10.516
0.241	14.890
0.291	19.264
0.341	23.091
0.391	28.012
0.441	32.386
0.491	36.760
0.541	42.227
0.591	46.601
0.641	51.522
0.692	56.443
0.741	61.363
0.791	66.284
0.841	70.111
0.891	75.032
0.941	79.953
0.991	85.420
1.042	90.341
1.091	94.168
1.141	99.089
1.191	103.463
1.241	108.383
1.291	113.304
1.341	118.225
1.391	122.599
1.441	127.519
1.492	132.440
1.541	137.361
1.591	142.281
1.641	146.655
1.691	151.576
1.741	155.950
1.791	160.871
1.841	165.791
1.891	170.165
1.941	175.086
1.991	180.007
2.041	184.381
2.091	189.301
2.141	193.675
2.191	198.596
2.241	203.517
2.291	208.437
2.341	212.811
2.391	217.732
2.441	222.653
2.491	227.027
2.541	231.947
2.591	236.321
2.641	241.242
2.691	246.163
2.741	250.537
2.791	0.000
2.841	0.000
2.891	0.000
2.941	0.000
2.991	0.000
3.041	0.000
3.091	0.000
3.141	0.000
