Motion Through Fluids Experiment Wed, Mar 02, 2022 10:31 AM
Time(sec)	Position(mm)
0.042	32.933
0.092	39.494
0.142	46.601
0.192	53.162
0.242	60.270
0.292	67.378
0.342	75.032
0.392	82.140
0.442	89.794
0.492	97.995
0.543	105.103
0.592	113.304
0.643	120.958
0.692	128.613
0.742	136.814
0.792	144.468
0.842	152.123
0.892	160.324
0.942	167.978
0.992	176.179
1.042	184.381
1.092	192.035
1.142	200.236
1.192	207.891
1.242	215.545
1.292	223.199
1.342	231.401
1.392	239.602
1.442	246.709
1.492	0.000
1.542	0.000
1.592	0.000
1.642	0.000
1.692	0.000
1.742	0.000
1.792	0.000
1.842	0.000
1.892	0.000
1.942	0.000
1.993	0.000
2.042	0.000
2.092	0.000
2.142	0.000
2.192	0.000
2.242	0.000
2.292	0.000
2.342	0.000
2.392	0.000
2.442	0.000
2.492	0.000
2.543	0.000
2.592	0.000
2.642	0.000
2.692	0.000
2.742	0.000
