Motion Through Fluids Experiment Wed, Mar 02, 2022 10:42 AM
Time(sec)	Position(mm)
0.037	0.000
0.087	0.000
0.143	15.984
0.187	0.000
0.237	0.000
0.287	0.000
0.337	0.000
0.387	37.853
0.437	42.227
0.487	46.601
0.537	51.522
0.587	55.896
0.637	60.270
0.687	64.644
0.737	69.564
0.787	73.938
0.837	78.859
0.887	83.233
0.937	87.607
0.987	92.528
1.037	96.902
1.087	101.276
1.137	106.196
1.187	111.117
1.237	115.491
1.287	119.865
1.337	124.786
1.387	129.160
1.437	133.533
1.487	138.454
1.537	143.375
1.587	147.202
1.637	152.123
1.687	156.497
1.737	161.417
1.787	165.791
1.837	170.165
1.887	175.086
1.937	179.460
1.987	184.381
2.037	188.755
2.087	193.129
2.137	198.049
2.187	202.423
2.237	206.797
2.287	211.718
2.337	216.092
2.387	220.466
2.437	224.840
2.487	229.760
2.537	234.134
2.587	237.962
2.637	243.429
2.687	246.709
2.737	251.630
2.787	0.000
2.837	0.000
2.887	0.000
2.937	0.000
2.987	0.000
3.037	0.000
3.087	0.000
3.138	0.000
3.187	0.000
3.237	0.000
