Motion Through Fluids Experiment Wed, Mar 02, 2022 9:48 AM
Time(sec)	Position(mm)
0.041	17.624
0.091	19.264
0.141	20.904
0.191	21.998
0.241	23.638
0.291	24.732
0.341	26.372
0.391	27.465
0.441	29.105
0.492	30.746
0.541	31.839
0.591	33.479
0.641	34.573
0.691	36.213
0.742	37.853
0.791	39.494
0.841	40.587
0.891	42.227
0.941	43.321
0.991	44.961
1.041	46.601
1.091	47.695
1.141	49.335
1.191	50.428
1.241	52.069
1.291	53.709
1.341	55.349
1.391	56.443
1.441	58.083
1.491	59.723
1.541	60.817
1.591	62.457
1.641	63.550
1.691	65.191
1.741	66.831
1.791	67.924
1.841	69.018
1.891	71.205
1.941	72.298
1.991	73.392
2.041	75.032
2.091	76.672
2.141	77.766
2.191	78.859
2.241	80.499
2.291	82.140
2.342	83.233
2.391	84.873
2.441	86.514
2.491	87.607
2.541	89.247
2.591	90.887
2.641	91.981
2.691	93.074
2.741	94.715
2.791	96.355
2.841	97.995
2.892	99.089
2.941	100.729
2.991	102.369
3.041	103.463
3.091	104.556
3.141	106.743
3.191	107.837
3.241	109.477
3.291	110.570
3.341	112.210
3.392	113.304
3.441	114.944
3.491	116.038
3.541	117.678
3.591	119.318
3.641	120.412
3.691	122.052
3.741	123.692
3.791	124.786
3.841	126.426
3.891	127.519
3.942	129.160
3.991	130.800
4.041	131.893
4.091	133.533
4.141	134.627
4.191	136.814
4.241	137.907
4.291	139.548
4.341	140.641
4.391	142.281
4.441	143.922
4.491	144.468
4.541	146.655
4.591	147.749
4.641	149.389
4.691	151.029
4.741	152.123
4.791	153.216
4.841	155.403
4.891	156.497
4.941	157.590
4.991	159.230
5.041	160.324
5.091	161.964
5.141	163.604
5.191	164.698
5.241	166.338
5.291	167.432
5.341	169.072
5.391	170.712
5.441	171.806
5.491	173.446
5.541	174.539
5.591	176.179
5.641	177.820
5.691	178.913
5.741	180.007
5.791	182.194
5.841	183.287
5.891	184.381
5.941	185.474
5.991	187.661
6.041	189.301
6.091	190.395
6.141	191.488
6.191	193.129
6.241	194.769
6.291	195.862
6.341	197.502
6.391	198.596
6.441	200.236
6.491	201.876
6.541	202.970
6.592	204.610
6.641	205.704
6.691	207.344
6.741	208.437
6.791	210.078
6.841	211.718
6.891	212.811
6.941	214.452
6.991	215.545
7.041	217.185
7.091	218.825
7.142	220.466
7.191	221.559
7.241	223.199
7.291	224.293
7.341	225.933
7.391	227.573
7.441	228.667
7.491	230.307
7.541	231.947
7.591	233.041
7.641	234.681
7.691	235.775
7.741	237.415
7.791	238.508
7.841	240.148
7.892	241.789
7.941	242.882
7.991	244.522
8.041	245.616
8.091	247.256
8.141	248.350
8.191	249.990
8.241	251.630
8.291	252.724
8.341	254.364
8.391	254.911
8.441	0.000
8.491	0.000
8.541	0.000
8.591	0.000
8.641	0.000
8.691	0.000
8.741	0.000
8.791	0.000
8.841	0.000
8.891	0.000
8.941	0.000
8.991	0.000
9.041	0.000
9.092	0.000
9.141	0.000
9.191	0.000
9.241	0.000
9.291	0.000
9.341	0.000
9.391	0.000
9.441	0.000
9.491	0.000
9.541	0.000
9.592	0.000
9.641	0.000
9.691	0.000
9.741	0.000
9.791	0.000
9.841	0.000
9.891	0.000
9.941	0.000
9.991	0.000
