Motion Through Fluids Experiment Wed, Mar 02, 2022 10:34 AM
Time(sec)	Position(mm)
0.035	66.831
0.135	78.859
0.185	84.873
0.235	90.887
0.285	96.902
0.335	102.916
0.385	108.930
0.435	114.944
0.485	120.958
0.535	126.973
0.585	132.987
0.635	139.548
0.685	145.562
0.735	152.123
0.785	158.137
0.835	164.151
0.885	170.165
0.935	176.179
0.985	182.194
1.035	187.661
1.085	193.129
1.135	199.143
1.185	204.610
1.235	210.624
1.285	216.638
1.335	222.653
1.385	228.120
1.435	234.681
1.485	240.148
1.535	246.709
1.585	252.724
1.635	0.000
1.685	0.000
1.735	0.000
1.785	0.000
1.835	0.000
1.886	0.000
1.935	0.000
1.985	0.000
2.035	0.000
2.085	0.000
2.136	0.000
2.185	0.000
2.235	0.000
2.285	0.000
2.335	0.000
2.385	0.000
2.435	0.000
2.485	0.000
2.535	0.000
