Motion Through Fluids Experiment Wed, Mar 02, 2022 10:46 AM
Time(sec)	Position(mm)
0.032	0.000
0.132	0.000
0.182	0.675
0.232	3.955
0.282	7.236
0.332	10.516
0.382	13.797
0.432	17.624
0.483	20.904
0.532	24.732
0.582	28.012
0.632	31.839
0.682	35.120
0.732	38.947
0.782	42.227
0.832	46.055
0.882	48.788
0.932	52.615
0.982	55.896
1.032	59.176
1.082	63.004
1.132	66.831
1.182	70.111
1.232	73.938
1.283	77.219
1.332	80.499
1.382	84.327
1.432	87.607
1.482	91.434
1.532	94.715
1.582	98.542
1.632	101.822
1.682	105.650
1.732	108.930
1.782	112.757
1.832	116.038
1.882	119.865
1.932	123.145
1.982	126.973
2.032	130.253
2.082	133.533
2.132	136.814
2.182	140.641
2.232	143.922
2.282	147.202
2.332	151.029
2.382	154.310
2.432	157.590
2.482	160.871
2.532	164.698
2.582	167.978
2.632	171.806
2.682	175.086
2.732	178.913
2.782	182.194
2.832	185.474
2.882	189.301
2.932	192.582
2.982	196.409
3.032	199.689
3.083	202.970
3.133	206.250
3.182	209.531
3.232	212.811
3.282	215.545
3.332	218.279
3.382	221.559
3.432	224.840
3.482	227.573
3.532	230.854
3.582	234.134
3.632	237.415
3.682	240.695
3.732	243.976
3.782	247.256
3.832	0.000
3.882	254.364
3.932	0.000
3.982	0.000
4.032	0.000
4.082	0.000
4.132	0.000
4.182	0.000
4.232	0.000
4.282	0.000
4.332	0.000
4.382	0.000
4.432	0.000
4.482	0.000
4.532	0.000
4.582	0.000
4.632	0.000
4.682	0.000
4.732	0.000
4.782	0.000
