Motion Through Fluids Experiment Wed, Mar 02, 2022 10:02 AM
Time(sec)	Position(mm)
0.081	0.000
0.282	1.222
0.481	3.409
0.681	6.142
0.882	8.876
1.081	11.063
1.281	13.797
1.481	16.530
1.681	19.264
1.881	21.451
2.082	24.185
2.282	27.465
2.481	29.652
2.682	32.386
2.881	35.120
3.081	37.853
3.281	40.587
3.481	43.321
3.681	45.508
3.881	48.241
4.081	50.975
4.281	53.709
4.481	56.443
4.681	59.176
4.881	61.910
5.081	64.097
5.281	66.831
5.481	69.564
5.681	72.298
5.881	75.032
6.081	77.766
6.281	79.953
6.482	82.686
6.681	85.420
6.881	88.154
7.081	90.887
7.282	93.621
7.481	96.355
7.681	99.089
7.881	101.276
8.081	104.009
8.281	106.743
8.481	109.477
8.681	112.210
8.881	114.397
9.081	117.131
9.281	119.865
9.482	122.599
9.681	125.332
9.881	128.066
10.081	130.253
10.281	132.987
10.481	135.720
10.681	138.454
10.881	141.188
11.081	143.922
11.281	146.655
11.481	148.842
11.682	151.576
11.881	154.310
12.081	157.043
12.281	159.777
12.481	162.511
12.681	164.698
12.881	167.432
13.081	170.165
13.281	172.899
13.481	175.633
13.681	178.366
13.881	180.553
14.081	183.287
14.282	186.021
14.481	188.755
14.681	191.488
14.881	193.675
15.081	196.409
15.281	199.143
15.481	201.876
15.681	204.610
15.881	207.344
16.081	209.531
16.281	212.265
16.481	214.998
16.681	217.732
16.881	219.919
17.081	222.653
17.281	225.386
17.481	228.120
17.681	230.854
17.881	233.588
18.081	236.321
18.281	238.508
18.481	241.242
18.681	243.976
18.881	246.709
19.081	248.896
19.281	251.630
19.481	254.364
19.681	0.000
19.881	0.000
20.081	0.000
20.281	0.000
20.481	0.000
20.681	0.000
20.881	0.000
21.081	0.000
21.281	0.000
21.481	0.000
21.681	0.000
21.881	0.000
22.081	0.000
22.281	0.000
22.481	0.000
22.681	0.000
22.881	0.000
23.081	0.000
