Motion Through Fluids Experiment Wed, Mar 02, 2022 10:05 AM
Time(sec)	Position(mm)
0.116	0.000
0.316	0.000
0.516	0.000
0.716	0.000
0.916	0.000
1.116	0.000
1.316	0.000
1.516	1.222
1.716	2.862
1.916	4.502
2.116	6.142
2.316	7.236
2.516	8.876
2.716	10.516
2.916	11.610
3.116	13.250
3.316	14.890
3.516	16.530
3.716	17.624
3.916	19.264
4.116	20.904
4.316	22.545
4.517	24.185
4.716	25.278
4.916	26.918
5.116	28.559
5.316	30.199
5.516	31.292
5.716	32.933
5.916	34.573
6.116	36.213
6.316	37.853
6.516	38.947
6.716	40.587
6.916	42.227
7.116	43.868
7.316	44.961
7.516	46.601
7.716	48.241
7.916	49.882
8.116	50.975
8.316	52.615
8.516	54.256
8.716	55.896
8.916	56.989
9.116	58.630
9.316	60.270
9.516	61.910
9.716	63.550
9.916	65.191
10.117	66.284
10.316	67.924
10.516	69.564
10.716	71.205
10.916	72.298
11.116	73.938
11.316	75.579
11.516	77.219
11.717	78.859
11.916	80.499
12.116	81.593
12.316	83.233
12.516	84.873
12.716	86.514
12.916	87.607
13.116	89.247
13.316	90.887
13.516	91.981
13.717	93.621
13.916	95.261
14.116	96.902
14.316	98.542
14.516	99.635
14.716	101.276
14.917	102.916
15.116	104.556
15.316	105.650
15.516	107.290
15.716	108.930
15.916	110.570
16.116	111.664
16.316	113.304
16.516	114.944
16.716	116.584
16.916	118.225
17.116	119.318
17.316	120.958
17.516	122.599
17.716	124.239
17.917	125.879
18.116	126.973
18.316	128.613
18.516	130.253
18.716	131.893
18.916	132.987
19.116	134.627
19.316	136.267
19.516	137.361
19.716	139.001
19.916	140.641
20.116	142.281
20.316	143.922
20.516	145.015
20.716	146.655
20.916	148.296
21.116	149.936
21.316	151.029
21.516	152.670
21.716	154.310
21.916	155.950
22.117	157.590
22.316	158.684
22.516	160.324
22.716	161.964
22.916	163.058
23.116	164.698
23.316	166.338
23.516	167.978
23.716	169.072
23.916	170.712
24.116	172.352
24.316	173.992
24.516	175.633
24.716	176.726
24.916	178.366
25.116	180.007
25.316	181.647
25.516	182.740
25.716	184.381
25.916	186.021
26.117	187.661
26.316	189.301
26.516	190.395
26.716	192.035
26.917	193.675
27.116	195.316
27.316	196.409
27.516	198.049
27.716	199.689
27.916	201.330
28.116	202.970
28.317	204.063
28.516	205.704
28.716	207.344
28.916	208.984
29.116	210.078
29.317	211.718
29.516	213.358
29.716	214.452
29.916	216.092
30.116	217.732
30.316	218.825
30.516	220.466
30.716	222.106
30.916	223.746
31.116	224.840
31.316	226.480
31.516	228.120
31.716	229.760
31.916	230.854
32.116	232.494
32.316	234.134
32.516	235.775
32.716	236.868
32.916	238.508
33.116	240.148
33.316	241.789
33.516	243.429
33.716	244.522
33.916	246.163
34.116	247.803
34.316	248.896
34.516	250.537
34.716	252.177
34.916	253.270
35.116	254.911
35.316	0.000
35.516	0.000
35.716	0.000
35.916	0.000
36.116	0.000
36.316	0.000
36.516	0.000
36.716	0.000
36.916	0.000
37.116	0.000
