Motion Through Fluids Experiment Wed, Mar 02, 2022 10:37 AM
Time(sec)	Position(mm)
0.019	23.091
0.119	32.386
0.169	37.307
0.219	42.774
0.269	47.695
0.319	52.615
0.369	57.536
0.419	62.457
0.469	67.378
0.519	72.845
0.569	77.766
0.619	83.233
0.669	88.701
0.719	94.168
0.769	99.635
0.819	105.103
0.869	110.570
0.919	116.584
0.969	122.052
1.019	126.973
1.069	132.440
1.119	137.907
1.169	143.922
1.219	149.389
1.269	154.856
1.319	160.324
1.369	166.338
1.419	171.806
1.469	177.273
1.519	183.287
1.569	188.755
1.619	194.222
1.669	200.236
1.720	205.704
1.769	210.624
1.819	217.185
1.869	221.559
1.919	227.573
1.969	233.588
2.019	239.055
2.069	244.522
2.119	250.537
2.169	0.000
2.219	0.000
2.269	0.000
2.319	0.000
2.369	0.000
2.419	0.000
2.469	0.000
2.519	0.000
2.569	0.000
2.619	0.000
2.669	0.000
2.719	0.000
