Motion Through Fluids Experiment Wed, Mar 02, 2022 10:32 AM
Time(sec)	Position(mm)
0.015	35.120
0.065	41.681
0.115	48.241
0.165	54.802
0.215	61.910
0.265	68.471
0.315	76.125
0.365	83.233
0.415	90.341
0.465	97.995
0.515	105.103
0.565	112.210
0.615	119.318
0.665	126.973
0.715	134.080
0.765	141.188
0.816	148.842
0.865	157.043
0.915	164.698
0.965	172.352
1.015	178.913
1.065	187.661
1.115	195.862
1.165	203.517
1.215	211.171
1.265	218.279
1.315	225.933
1.365	233.588
1.415	241.242
1.465	248.896
1.515	254.911
1.565	0.000
1.615	0.000
1.665	0.000
1.715	0.000
1.765	0.000
1.815	0.000
1.865	0.000
1.915	0.000
1.965	0.000
2.015	0.000
2.065	0.000
2.115	0.000
2.165	0.000
2.215	0.000
2.265	0.000
2.315	0.000
2.365	0.000
