Motion Through Fluids Experiment Wed, Mar 02, 2022 10:33 AM
Time(sec)	Position(mm)
0.042	15.437
0.092	20.358
0.142	25.825
0.192	31.839
0.242	37.307
0.292	42.774
0.342	48.788
0.392	54.802
0.442	60.270
0.492	66.831
0.542	72.298
0.592	78.312
0.642	84.873
0.692	90.887
0.742	96.902
0.792	102.916
0.842	108.930
0.892	114.944
0.942	121.505
0.992	127.519
1.042	133.533
1.092	139.548
1.142	146.109
1.192	152.123
1.242	158.137
1.292	164.698
1.342	170.712
1.392	176.726
1.442	183.287
1.492	189.301
1.542	195.862
1.592	201.876
1.642	207.891
1.692	213.905
1.742	221.012
1.792	226.480
1.842	232.494
1.893	239.055
1.942	245.069
1.992	251.083
2.042	0.000
2.092	0.000
2.142	0.000
2.192	0.000
2.242	0.000
2.292	0.000
2.342	0.000
2.392	0.000
2.442	0.000
2.493	0.000
2.542	0.000
2.592	0.000
2.642	0.000
2.692	0.000
2.742	0.000
2.792	0.000
